token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o1057	ai_candidate	pants	blue_fitted_mockneck_pink_denim_patch_cargo_pants	bottom	1	blue_black_pink	blue,black,pink	statement	statement_not_daily	experimental	spring,autumn	social,creative	{"edge":0.81,"oops":0.77,"noir":0.28}	素蓝合体上衣平衡粉纱丹宁大工装裤，甜酷拼接而非肃杀长线是主证据	unknown	蓝小高领针织、粉纱黑皮丹宁工装两腿裤、藏蓝抽绳包与黑玛丽珍；上身收敛使主次较清楚，复杂主裤仍只作明确实验场景，不用换上衣增加主裤家族数。
o1058	ai_candidate	pants	navy_draped_top_pink_denim_patch_cargo_pants	bottom	1	navy_blue_black_pink	navy,blue,black,pink	statement	statement_not_daily	experimental	spring,autumn	social,creative	{"edge":0.77,"oops":0.78,"flou":0.43,"noir":0.3}	深蓝软垂领接复杂拼片裤，主焦点仍在裤装而非高强度暗黑剪裁	unknown	藏蓝长袖堆领衫、粉纱丹宁皮革工装宽裤、藏蓝抽绳包和黑玛丽珍；与o1057同裤配件，上衣松软程度变化不能当作另一种裤装结构。
o1059	ai_candidate	skirt	plain_dark_tank_plain_straight_midi	top,bottom	1	tonal_black	black	polished	everyday	easy	spring,autumn	daily,social	{"mute":0.69,"noir":0.57,"ease":0.58}	素背心直裙是克制基础，尖头长靴与暗红结构包仅辅助暗黑表达	unknown	黑素背心、黑直中裙小前开衩、黑暗红手袋和尖头长靴；裙体没有大面积皮革拼接或强斜线，黑色不单独构成高NOIR评分。
o1060	ai_candidate	skirt	plain_charcoal_tee_plain_straight_midi	top,bottom	1	charcoal_black	charcoal,black	polished	everyday	easy	spring,autumn	daily,social	{"mute":0.7,"noir":0.54,"ease":0.63}	素短袖和素直裙属日常简洁，锐利感主要由靴与包提供	unknown	炭灰圆领短袖、黑直中裙、黑暗红结构包和尖头长靴；同o1059主裙及配件，袖长微变不构成新款式家族，也不假设全季节可穿。
o1061	ai_candidate	skirt	sharp_pointed_shirt_plain_dark_a_midi	top	1	black_burgundy	black,burgundy	statement	everyday_with_statement	typical	spring,autumn	social,creative	{"noir":0.74,"edge":0.59,"oops":0.4}	强肩尖摆衬衫配普通A裙保持主焦点，粉蓝运动鞋使肃杀中混入街头	unknown	黑暗红尖摆衬衫、黑素A中裙、素灰包和粉蓝黑厚运动鞋；上衣细节比普通黑衫更有NOIR证据，但不能推荐为严格正式场合。
o1062	ai_candidate	skirt	pink_black_corset_plain_dark_a_midi	top	1	pink_black	pink,black	statement	everyday_with_statement	typical	spring,summer	social,creative	{"edge":0.85,"noir":0.42,"oops":0.49}	粉杯束身与粉蓝鞋同色呼应，普通A裙收敛，主表达明显甜酷	unknown	粉黑实体束身吊带、黑素A裙、灰素肩包及黑粉蓝厚运动鞋；与o1061相同主裙，改上衣会改变人格感，不应复制同一NOIR理由。
o1063	ai_candidate	skirt	black_sharp_crop_top_plain_charcoal_pleated_skirt	top	1	black_burgundy_charcoal	black,burgundy,charcoal	statement	everyday_with_statement	typical	spring,autumn	social,creative	{"noir":0.74,"edge":0.64,"film":0.36}	硬肩尖摆短衫衬托规则百褶，黑皮哑亮结构支持暗黑而玛丽珍带来轻学院感	unknown	黑暗红强肩短上衣、炭灰素百褶短中裙、黑邮差包与普通黑玛丽珍；主体上衣不透明，与全身黑基础衫不同，真实裙长和腰部露肤程度未知。
o1064	ai_candidate	skirt	plain_charcoal_shirt_plain_charcoal_pleats	top,bottom	1	tonal_charcoal	charcoal	polished	everyday	easy	spring,autumn	daily,commute	{"mute":0.71,"film":0.6,"ease":0.61,"noir":0.32}	普通翻领衫、规则百褶和玛丽珍偏克制学院，不足以高判肃杀	unknown	炭灰普通衬衫、同色规则百褶裙、黑邮差包及普通玛丽珍；与o1063共用裙配件，但移除硬肩尖摆后人格证据明显降低。
o1065	ai_candidate	skirt	ivory_blue_botanical_shirt_black_wrap_long_skirt	bottom	1	ivory_blue_black_burgundy	ivory,blue,black,burgundy	polished	everyday_with_statement	explore	spring,autumn	daily,social	{"loop":0.57,"film":0.52,"noir":0.53,"ease":0.47}	植物小领衫配暗黑皮革裹长裙为软硬混搭，主裙有纵向材质证据但上身非肃杀	unknown	原图黑裹裙有连续黑底与暗红内片，无缺内搭疑点；奶白蓝花小立领衫、藏蓝桶包和白色运动底乐福鞋降低正式度。鞋不是系带运动鞋，避免误记款式。
o1066	ai_candidate	skirt	pink_puff_denim_leather_top_black_wrap_long_skirt	top,bottom	1	pink_denim_black_burgundy	pink,blue,black,burgundy	statement	statement_not_daily	experimental	spring,summer	social,creative	{"edge":0.77,"noir":0.59,"oops":0.57}	粉泡袖束身与长皮革裹裙同有强表达，主裙长线和上衣甜感混合，非纯NOIR	unknown	粉花短泡袖丹宁皮革上衣、黑暗红长裹裙、藏蓝桶包及白运动底乐福鞋；白鞋是强烈休闲混搭，保留明确实验语境，不宣称日常通勤或正式活动适配。
