token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o0937	ai_candidate	skirt	botanical_patch_shirt_taupe_tiered_long_skirt	top,bottom	1	muted_earth_blue	brown,blue,taupe	casual	everyday_with_statement	typical	spring,autumn	daily,social	{"film":0.66,"wabi":0.63,"flou":0.43}	传统翻领植物纹衬衫和素斜层裙支持柔和旧式纹理，不以灰棕色独立作人格证据	unknown	棕蓝植物拼袖衬衫、灰褐斜层长裙、素灰弯月包及基础灰跑鞋；裙无额外花纹破片，主视觉有变化而非全套解构堆叠。
o0938	ai_candidate	skirt	blue_botanical_shirt_charcoal_tiered_skirt	top,bottom	1	blue_charcoal	blue,charcoal	polished	everyday	easy	spring,autumn	daily,social	{"ease":0.64,"film":0.58,"wabi":0.49,"flou":0.43}	细植物纹普通衬衫与规整三层裙有温和复古质感，整体无高强度碎片	unknown	蓝普通翻领衬衫、炭灰三层A长裙、素灰抽绳包及棕色普通长靴；不将每一层裙摆计成独立衣物叠穿。
o0939	ai_candidate	skirt	asymmetric_botanical_shirt_plain_tiered_skirt	top	1	muted_ivory_charcoal	ivory,charcoal,brown,gray_blue	statement	everyday_with_statement	typical	spring,autumn	social,creative	{"void":0.66,"wabi":0.7,"film":0.47,"oops":0.56}	错层衣襟和下摆更偏解构，三层裙为规则素面，尚未出现上下同级破片	unknown	原图灰白植物纹斜襟长袖衫、素炭灰三层裙、素抽绳包与棕长靴；完整衣身可见实体覆片，不误写缺内搭，主焦点集中上装。
o0940	ai_candidate	skirt	ivory_botanical_shirt_charcoal_pleated_midi	top,bottom	1	ivory_charcoal	ivory,charcoal	polished	everyday	easy	spring,autumn	daily,commute	{"ease":0.67,"film":0.59,"heir":0.53,"wabi":0.4}	普通领细花衫和规则大褶裙提供温和旧式整洁，非解构实验	unknown	奶白细植物纹长袖衬衫、炭灰大褶中长裙、素棕肩包和米灰跑鞋；复杂度低，鞋的休闲性不自动否定日常整洁搭配。
o0941	ai_candidate	skirt	navy_crew_knit_charcoal_pleated_midi	top,bottom	1	navy_charcoal	navy,charcoal	polished	everyday	easy	spring,autumn	daily,commute	{"ease":0.73,"mute":0.64,"heir":0.48,"film":0.26}	素圆领胸袋针织配规则大褶裙是通用日常，缺少独立时代剪裁证据	unknown	藏蓝素短身长袖针织、炭灰大褶裙、素棕肩包和米灰跑鞋；与细花衬衫版本同裙同配饰，主裙不能按新款式计数。
o0942	ai_candidate	skirt	botanical_patch_shirt_flat_patch_long_skirt	top,bottom	1	muted_earth_blue	brown,blue,ivory,olive	statement	everyday_with_statement	typical	spring,autumn	social,creative	{"film":0.7,"wabi":0.69,"oops":0.49}	传统翻领、旧植物纹与灯芯绒观感大平片长裙有具体复古材质线索	unknown	原图棕蓝花纹衬衫与长A裙相配，裙面是连续大块牛仔、棕绒、粗织拼片，不是多层撕裂裙；包有垂褶，普通拼色鞋提供较清楚轮廓。
o0943	ai_candidate	skirt	fitted_deconstructed_top_multicolor_panel_long_skirt	top,bottom	1	muted_earth_blue	brown,gray_blue,taupe,olive	statement	statement_not_daily	experimental	spring,autumn	creative	{"void":0.75,"oops":0.65,"wabi":0.65,"film":0.31}	贴身错层衣与松大拼片裙形成紧上松下，破边不是仅由灰棕色推断	unknown	原图上衣胸腹实体覆盖、袖量较窄；下裙棕蓝多层斜片、普通大块拼包和褶饰靴。上下均复杂但体积主次可辨，只列创意实验，不承诺日常轻量。
o0944	ai_candidate	skirt	fitted_sheer_yoke_top_gray_panel_long_skirt	bottom	1	muted_brown_charcoal	brown,charcoal,gray_blue	statement	everyday_with_statement	typical	spring,autumn	social,creative	{"void":0.73,"wabi":0.65,"oops":0.55,"film":0.31}	上衣贴体褶皱与大摆拼裙形成比例差，主要结构仍是粗粝层裙	unknown	原图上衣肩颈透薄，但胸腹有深色吊带形实体覆层，不等于全衣透明；灰棕长片裙、褶包及棕蓝跑鞋，记录单层主衣而非另加不存在的内搭件。
o0945	ai_candidate	pants	brown_loose_round_jacket_plain_blouse_panel_pants	bottom	2	brown_charcoal	brown,charcoal,gray_blue	statement	everyday_with_statement	typical	spring,autumn	creative,social	{"wabi":0.7,"void":0.63,"film":0.48}	松直无领外套与素衫压住上身，层片裤为主要碎片结构	unknown	原图棕无领直身外套有松量，炭灰软衫是普通聚褶袖而非巨泡袖；灰蓝破片裤、灰拼包与素跑鞋。保留两层候选，实际套入尺寸仍未知。
o0946	ai_candidate	pants	brown_open_jacket_fitted_knit_panel_pants	bottom	2	tonal_brown_charcoal	brown,taupe,charcoal,gray_blue	statement	everyday_with_statement	typical	spring,autumn	social,creative	{"wabi":0.72,"void":0.6,"film":0.49}	开襟直身外套叠贴身针织具有清楚层级，散片宽裤是主视觉	unknown	原图棕无领V开口外套、灰褐胸袋素针织、两腿灰棕层片裤、棕蓝拼包及普通棕长靴；并非双开衫图，也不把长裤搭靴自动写成塞靴冲突。
o0947	ai_candidate	pants	taupe_plain_blazer_ivory_blouse_navy_wide_pants	top,bottom	2	taupe_ivory_navy	taupe,ivory,navy	polished	everyday	easy	spring,autumn	daily,commute	{"ease":0.72,"heir":0.64,"mute":0.52,"film":0.26}	素西装与普通奶白软衫、宽裤是规范日常叠穿，色域旧不等于复古造型	unknown	灰褐直身无领西装、奶白小立领衫、藏蓝素宽裤、素灰包和米灰跑鞋；无大泡袖与束带，不能沿用其他配方的袖量结论。
o0948	needs_review	pants	patch_cocoon_coat_botanical_shirt_torn_jeans	outer,top,bottom	2	muted_earth_blue	brown,olive,blue,charcoal	statement	statement_not_daily	experimental	autumn	creative	{"wabi":0.65,"void":0.65,"oops":0.62,"film":0.5}	茧形拼外套、植物衫和大破片牛仔各自表达不同主细节，包靴继续加层	multiple_focal_competition	原图外套宽落肩有袖量，不以叠穿容量作为主要否决；问题在五件均有明显拼接、破片或堆褶，尤其外套和下装同时占体积，建议先减一件主视觉。
o0949	ai_candidate	pants	taupe_cocoon_coat_patch_hoodie_plain_wide_pants	top	2	taupe_charcoal	taupe,charcoal,gray_blue	casual	everyday_with_statement	typical	autumn,winter	daily,creative	{"void":0.65,"wabi":0.61,"ease":0.46,"film":0.29}	素茧形外套和宽裤包围破边连帽衫，复杂结构集中内层	unknown	原图外套宽落肩且袖身鼓起，内层普通宽连帽衫无固定巨泡结构；素灰抽绳包、基础跑鞋降低负担。冬季仅衣物层次判断，不作极寒保暖承诺。
o0950	needs_review	pants	navy_long_coat_corset_puff_top_taupe_pants	top,outer	2	navy_brown_taupe	navy,brown,taupe	statement	unknown	typical	autumn	social,creative	{"film":0.55,"bolt":0.51,"wabi":0.42}	束腰牛仔上衣有复古化剪裁，但实体膨袖置入普通大衣袖身的效果没有证据	outer_inner_volume_unverified	原图内搭双袖从上臂到束口持续蓬起且有横向拼带，藏蓝长大衣袖型较直；素灰褐裤、棕包与普通长靴不能验证袖量容纳，保留待复核而非断言绝不能穿。
o0951	ai_candidate	dress	brown_plain_belted_long_shirt_dress	dress	1	brown	brown	polished	everyday	easy	spring,autumn	daily,commute	{"ease":0.72,"heir":0.59,"film":0.43,"wabi":0.39}	普通翻领系腰长裙有整洁经典感，没有错层拼接或显著时代领型	unknown	棕色素长袖系腰衬衫裙、素灰弯月包、细框眼镜及米灰跑鞋；经典不等于强FILM，眼镜也不能补足主裙视觉证据。
o0952	ai_candidate	dress	charcoal_draped_slip_long_dress	dress	1	charcoal	charcoal	polished	everyday	easy	summer	social,daily	{"mute":0.65,"ease":0.62,"noir":0.57,"film":0.22}	素细带长裙和侧身斜褶是克制修长结构，旧色配饰没有改变主衣逻辑	unknown	炭灰细肩带垂褶长裙、素灰抽绳包、小圈耳饰及棕蓝跑鞋；没有外套，不生成冬季适配；图像也不能证明裙长与行走安全。
o0953	ai_candidate	dress	gray_distressed_wrap_slip_short_dress	dress	1	muted_gray_brown	gray,charcoal,brown	statement	statement_not_daily	typical	spring,autumn	social,creative	{"void":0.8,"oops":0.6,"wabi":0.55,"film":0.29}	斜绕细带、毛边和不齐短摆是解构事实，非传统年代剪裁	unknown	原图胸腹为实体灰色覆片，短裙外缘有破边层片；棕素肩包、异形细框眼镜和褶饰棕长靴。靴非绒口雪地靴，不凭吊带配靴直接否定季节。
o0954	ai_candidate	dress	patchwork_corset_layered_short_dress	dress	1	muted_denim_earth	blue,brown,olive,ivory	statement	statement_not_daily	experimental	spring,autumn	creative,social	{"bolt":0.7,"oops":0.69,"film":0.53,"wabi":0.43}	束身胸杯与多层短蓬摆形成戏剧混搭，牛仔粗织旧色不能掩盖轮廓强度	unknown	原图胸杯和腹片实体可见，蕾丝只作边饰；奶棕蓝多层短裙、灰蓝软褶包、普通细框镜与棕蓝跑鞋。按创意实验保留，不当普通复古日常。
