token	category	subcategory	neckline	sleeve	length	volume	construction	pattern	decoration	material_appearance	main_colors	visual_personas	usage_limits	status	evidence
g0145	outer	collarless_blazer	collarless_v	long_straight	hip	lightly_fitted	single_button_flap_pockets	plain	low	matte_tailoring	taupe	mute,loop,heir	unknown	ai_candidate	灰米色无领V形单扣西装，腰部轻收而非紧束，双翻盖袋及直袖体现通勤结构；与粉色和深灰棕同型外套的轮廓接近。
g0146	outer	shirt_coat	point_collar	long_turnback	calf	straight	button_front_center_opening	plain	low	matte_light_woven	blue_gray	iced,ease,loop	thermal_weight_unknown	ai_candidate	蓝灰色尖领长衬衫式外搭，直筒身片、扣门襟和翻折袖口，长度延至小腿；轻量织物观感不等于可作严冬大衣。
g0147	outer	v_neck_cardigan	v_neck	long_relaxed	hip	relaxed	button_front_rib_hem	plain	low	fine_knit	navy	heir,ease,mute	unknown	ai_candidate	藏蓝V领扣襟针织开衫，袖体微松而袖口和下摆收拢，结构简洁；可作基础外层，非凭深色判定NOIR。
g0148	outer	collared_blouson	point_collar	long_balloon	hip	boxy	buttons_elastic_hem_slant_pockets	plain	low	matte_woven	oatmeal	ease,loop,heir	unknown	ai_candidate	浅燕麦尖领短夹克，扣襟、插袋、松紧下摆和鼓起的袖身构成轻便箱形；不同于直线修身西装。
g0149	outer	cocoon_lapel_coat	notch_lapel	long_relaxed	thigh	cocoon	three_buttons_welt_pockets	plain	low	soft_wool_look	dusty_pink	melt,ease,loop	thermal_weight_unknown	ai_candidate	灰粉色三扣翻领中长外套，肩袖柔和、身侧略弧成茧形，竖插袋；温柔感来自比例和表面，不只来自粉色。
g0150	outer	collarless_short_jacket	crew	long_straight	cropped	boxy	four_buttons_patch_pockets	plain	low	soft_matte_woven	taupe	heir,loop,mute	unknown	ai_candidate	灰棕圆领短外套以四颗扣和两个大圆角贴袋为特征，略箱形而衣长较短；需与近似短外套按款式家族去重。
g0151	outer	collarless_blazer	collarless_v	long_straight	hip	lightly_fitted	single_button_flap_pockets	plain	low	matte_tailoring	pale_pink	mute,loop,heir	unknown	ai_candidate	淡灰粉无领单扣西装，腰线、直袖、双翻盖袋与g0145很接近；明显变化首先是颜色，不能单独视为新轮廓。
g0152	outer	collarless_long_coat	crew	long_turnback	calf	straight	button_front_center_opening	plain	low	matte_light_woven	steel_blue	iced,ease,loop	thermal_weight_unknown	ai_candidate	钢蓝圆领长外套，黑色扣门襟、翻袖口和直下摆形成简洁纵线；与尖领长款相比领型有实际差别，厚度不能从图确认。
g0153	outer	crew_cardigan	crew	long_relaxed	hip	relaxed	button_front_rib_hem	plain	low	fine_knit	light_gray	mute,ease,loop	unknown	ai_candidate	浅灰圆领全开扣针织衫，宽松袖身配收口袖边和下摆；低装饰适合复用，衣片并无明显先锋结构。
g0154	outer	zip_bomber	crew	long_balloon	hip	boxy	zip_elastic_cuffs_hem	plain	low	light_nylon_look	ivory	loop,ease,iced	unknown	ai_candidate	乳白圆领拉链夹克，袖口下摆抽褶、斜插袋和鼓袖构成运动式短外层；布面略有光泽但纤维成分未知。
g0155	outer	collarless_cocoon_coat	crew	long_cocoon	thigh	cocoon	concealed_front_slant_pockets	plain	low	soft_wool_look	brown	wabi,ease,mute	thermal_weight_unknown	ai_candidate	棕色无领茧形中长外套，落肩鼓袖及隐蔽门襟强调柔和包裹，不是做旧拼接；温暖毛呢观感不证明保温等级。
g0156	outer	short_lapel_jacket	notch_lapel	long_turnback	cropped	boxy	three_buttons_large_flap_pockets	plain	low	matte_woven	ivory	heir,loop,ease	unknown	ai_candidate	乳白短翻领外套有三颗棕扣和大翻盖袋，袖口翻边，衣身较短而平直；与长修身西装形成明确比例变化。
g0157	outer	collarless_blazer	collarless_v	long_straight	hip	lightly_fitted	single_button_flap_pockets	plain	low	matte_tailoring	dark_taupe	mute,loop,heir	unknown	ai_candidate	深灰棕无领单扣西装与g0145/g0151的翻盖袋、V形门襟和收腰轮廓高度相似；颜色更深不构成独立款式表达。
g0158	outer	long_lapel_coat	notch_lapel	long_turnback	calf	straight	button_front_center_opening	plain	low	matte_light_woven	charcoal	mute,loop,noir	thermal_weight_unknown	ai_candidate	炭灰长翻领外套，长扣襟、翻袖和垂直身片带轻量感；可以支持克制纵线，但无强肩，NOIR证据弱于硬挺长风衣。
g0159	bottom	wide_pleated_trousers	unknown	unknown	full	wide	belt_loops_front_pleats_turnup_hem	plain	low	matte_tailoring	charcoal_navy	loop,mute,heir	unknown	ai_candidate	深蓝灰前褶宽裤有腰袢和翻折裤脚，裤腿整体宽直，纵褶清楚；与g0169同类宽量及翻脚变化小，应作近似候选。
g0160	bottom	straight_pressed_trousers	unknown	unknown	ankle	straight	concealed_fly_belt_loops_crease	plain	low	matte_tailoring	light_gray	mute,loop,iced	unknown	ai_candidate	浅灰平直西裤，中线熨迹、简洁腰袢和窄于阔腿款的裤口可见；缺少人体参照，踝长仅为相对款式判断。
g0161	bottom	straight_jeans	unknown	unknown	full	straight	five_pockets_belt_loops_fly	washed	low	denim	washed_blue	loop,ease,film	unknown	ai_candidate	浅洗蓝五袋牛仔裤，宽直双腿及轻微大腿褪色，无破洞或拼接；与g0167/g0173等洗蓝直筒需要近似去重。
g0162	bottom	pleated_tapered_trousers	unknown	unknown	ankle	tapered	front_pleats_belt_loops_fly	plain	low	matte_woven	blue_gray	iced,loop,mute	unknown	ai_candidate	蓝灰前褶裤从胯部向脚口轻收，纽扣腰头与斜袋形成通勤基础结构；较阔腿款轮廓更利落，但与其他同型锥裤相近。
g0163	bottom	fluid_wide_trousers	unknown	unknown	full	wide	front_pleats_button_waist	plain	low	fluid_woven	navy	ease,heir,loop	unknown	ai_candidate	藏蓝长阔腿裤自前褶形成连续垂坠，宽裤口无明显翻边；流动量区别于硬直牛仔，但与其他素色阔腿仍属近似方向。
g0164	bottom	pleated_tapered_trousers	unknown	unknown	ankle	tapered	front_pleats_belt_loops_fly	plain	low	matte_woven	taupe	ease,loop,heir	unknown	ai_candidate	米灰前褶锥形裤，髋部有余量、脚口略收，结构与g0162十分接近；自然色不能独自证明WABI结构。
g0165	bottom	wide_jeans	unknown	unknown	full	wide	five_pockets_belt_loops_fly	plain	low	denim_look	ivory	ease,loop,heir	unknown	ai_candidate	奶白五袋宽腿裤，圆袋和门襟带牛仔裤结构，腿身宽而平直；比西裤少中线，不应只按白色与白西裤等同。
g0166	bottom	straight_pressed_trousers	unknown	unknown	ankle	straight	concealed_fly_belt_loops_crease	plain	low	matte_tailoring	taupe	mute,loop,heir	unknown	ai_candidate	灰棕平直中线裤，简洁腰头、斜插袋和窄直裤口，与g0160结构高度接近；作为配色替换而非新增廓形。
g0167	bottom	straight_jeans	unknown	unknown	full	straight	five_pockets_belt_loops_fly	washed	low	denim	light_washed_blue	loop,ease,film	unknown	ai_candidate	浅灰洗蓝直筒五袋牛仔，腿身淡色洗水均匀，轻宽裤口；与g0161同类，需靠实际裤量和洗水强度而非ID区分。
g0168	bottom	wide_pressed_trousers	unknown	unknown	full	wide	concealed_fly_belt_loops_crease	plain	low	matte_tailoring	ice_blue	iced,loop,mute	unknown	ai_candidate	浅冰蓝平腰阔腿中线裤，裤脚略展、长度较长，清晰垂线支持利落表达；同型不同蓝色不应连续出现。
g0169	bottom	wide_pleated_trousers	unknown	unknown	full	wide	belt_loops_front_pleats_turnup_hem	plain	low	matte_tailoring	charcoal	loop,mute,heir	unknown	ai_candidate	炭灰双前褶宽裤带明显翻脚，与g0159在腿量、腰部和裤脚结构接近；是近似家族候选，非全新裤型。
g0170	bottom	pleated_tapered_trousers	unknown	unknown	ankle	tapered	front_pleats_belt_loops_button	plain	low	matte_woven	ivory	ease,loop,heir	unknown	ai_candidate	象牙色前褶锥裤，腰袢纽扣和收脚轮廓简洁；与灰米蓝同型款主要是颜色差异，不能凭换色提高多样性计数。
g0171	bottom	wide_jeans	unknown	unknown	full	wide	five_pockets_belt_loops_button	plain	low	washed_cotton_look	brown	ease,film,loop	unknown	ai_candidate	棕灰五袋宽腿裤，圆袋及纽扣门襟、柔软微皱裤脚偏休闲；比中线西裤松弛但并无明显做旧破坏。
g0172	bottom	wide_pressed_trousers	unknown	unknown	full	wide	concealed_fly_belt_loops_crease	plain	low	matte_tailoring	light_gray	mute,iced,loop	unknown	ai_candidate	浅灰西裤腿身宽直，中线熨迹和极简腰头明显；与g0168的基础结构接近，颜色克制不构成人格专属证据。
