token	category	subcategory	neckline	sleeve	length	volume	construction	pattern	decoration	material_appearance	main_colors	visual_personas	usage_limits	status	evidence
g0361	top	mesh_denim_corset_top	square	long_tiered	cropped	corseted	asymmetric_straps_buttons_buckles_ties	colorblock_lace	high	mesh_denim_leather_lace_look	black,denim_blue,dusty_pink	edge,oops	layering_volume_needs_space	ai_candidate	黑色合体短上衣以丹宁斜肩带、粉边门襟和透网袖拼接，袖口层片和带扣较密；胸身较密而肩袖透视，甜酷结构明确。
g0362	top	baroque_bow_corset_blouse	u_neck	long_double_puff	waist	corseted	button_front_bows_tight_mid_sleeve	floral_texture	high	brocade_satin_velvet_look	ivory,burgundy	bolt,heir	occasion_only;layering_volume_needs_space	ai_candidate	乳白束腰上衣有酒红肩蝴蝶结和胸前领结，双段大泡袖以中袖绑带收束；明确礼服式体积，不作常规HEIR通勤基础款。
g0363	top	patch_draped_blouse	u_neck	long_puff	hip	oversized	uneven_panels_neck_tie	patchwork	medium	linen_coarse_woven_look	taupe,brown,washed_blue,olive	wabi,void	layering_volume_needs_space	ai_candidate	棕灰蓝橄榄宽衫面板错落，领口细绳、低落肩和抽袖口形成柔软宽量；自然材质观感与不齐摆共同支持WABI/VOID。
g0364	top	ink_wrap_sleeveless_blouse	wrap_v	sleeveless	hip	lightly_fitted	cross_front_side_tie_layered_hem	ink_floral	medium	matte_woven	ivory,black,red	jade,flou	wrap_coverage_unverified	ai_candidate	乳白黑水墨无袖裹领上衣侧系细绳，花枝和小红点集中，下摆斜叠；有实际中式裹线，活动覆盖仍未知而非自动承诺不走光。
g0365	top	asymmetric_ink_shirt	point_collar	long_puff	hip	lightly_fitted	side_ruche_tie_layered_front	ink_landscape	medium	light_woven	ivory,gray	jade,flou,iced	layering_volume_needs_space	ai_candidate	乳白尖领衬衫一侧灰墨图案、另一侧素片，腰部抽褶系带和不齐下摆清楚；中式意象与现代领衫相结合，不虚构盘扣。
g0366	top	sharp_shoulder_long_shirt	point_collar	long_fitted	hip	fitted	angular_panels_pointed_hem_split_cuffs	plain	medium	leather_woven_look	black,burgundy	noir,edge	layering_volume_needs_space	ai_candidate	黑色长衬衫肩角突出、腰身紧收、下摆尖长分片，暗酒红内片从缝隙露出；NOIR来自锐利结构而不只是黑色。
g0367	top	fitted_displaced_layer_top	cowl	long_fitted	hip	fitted	raw_edge_panels_uneven_sleeves	patchwork	high	washed_knit_woven_look	charcoal,brown,washed_blue	void,film,edge	experimental	ai_candidate	灰蓝棕贴身层片上衣有破边斜拼、垂领和左右不同袖面，身形线较收；区别宽松VOID基础款，适合作单一强焦点。
g0368	outer	mixed_trench_coat	large_lapel	long_mismatched	calf	belted_a	belt_double_buttons_uneven_layers	colorblock_lace	high	twill_denim_lace_satin_look	tan,denim_blue,rust,black,ivory	oops,edge	experimental;layering_volume_needs_space	ai_candidate	长风衣混合米色翻领、丹宁片、铁锈亮袖和乳白蕾丝袖，黑色褶片及斜摆并用；明确异质反差，需素内搭下装缓冲。
g0369	outer	v_neck_cardigan	v_neck	long_relaxed	hip	relaxed	button_front_patch_pockets_rib_edges	plain	low	fine_knit	charcoal	mute,ease,loop	unknown	ai_candidate	炭灰V领开衫有扣门襟、两个贴袋和罗纹边，袖身宽松；跨人格低装饰基础型，与其他素开衫需做家族近似控制。
g0370	outer	sheer_panel_zip_jacket	stand_collar	long_fitted	hip	fitted	zip_front_side_zip_pockets_sheer_panels	plain	low	light_synthetic_sheer_look	ice_blue	iced,loop	requires_inner_layer	ai_candidate	冰蓝立领拉链轻夹克有侧拉链袋和透视肩袖拼片，腰身贴合；明确外层结构，应配已确认内搭，不误当另一件衬衫。
g0371	outer	fitted_long_lapel_coat	notch_lapel	long_turnback	calf	lightly_fitted	three_buttons_flap_pockets	plain	low	matte_wool_look	navy	heir,loop,mute	thermal_weight_unknown	ai_candidate	藏蓝长翻领外套三扣、翻盖袋与收腰纵线规整，袖口翻折；经典精致而非强肩戏剧轮廓，实际保暖等级未知。
g0372	outer	contrast_collar_blouson	point_collar	long_puff	waist	boxy	flap_pockets_drawstring_hem	colorblock	low	matte_woven_suede_look	ivory,brown	ease,film,loop	layering_volume_needs_space	ai_candidate	奶白短夹克配棕色领、大袋盖、鼓袖及抽绳下摆，温暖休闲语汇明确；与普通素拉链运动夹克有袋和领型差异。
g0373	outer	crew_short_jacket	crew	long_straight	waist	boxy	button_front_patch_pockets	plain	low	soft_wool_look	ivory	heir,melt,loop	thermal_weight_unknown	ai_candidate	奶白圆领短外套有同色扣和圆角贴袋，身形箱而袖较直；适合经典简洁外层，但不能保证能容纳所有大泡袖。
g0374	outer	layered_drape_coat	open_lapel	three_quarter_rolled	calf	oversized	asymmetric_hanging_panels	plain	medium	wrinkled_linen_look	taupe	wabi,void,flou	layering_volume_needs_space	ai_candidate	灰棕长外套宽松落肩、卷袖，前襟多片垂落且下摆不齐；自然皱纹与不规则轮廓明确，比常规风衣表达更强。
g0375	outer	sheer_floral_tie_coverup	deep_v	long_bell	hip	loose	front_tie_lace_layers_appliques	watercolor_floral	high	chiffon_lace	pale_pink,sage,ivory	flou,melt	requires_opaque_inner;layering_volume_needs_space	ai_candidate	粉绿花纱开襟罩衫以胸前细绳固定、宽钟袖和不等长荷叶摆，透视明显；作为外搭保留，但必须明确不透明内层，不能当单穿上衣。
g0376	outer	colorblock_balloon_crop_jacket	stand_collar	long_balloon	cropped	oversized	zip_front_shoulder_flaps_drawcords	colorblock	high	glossy_synthetic_mesh_denim	cobalt,lime,hot_pink,orange	neon,oops	experimental;layering_volume_needs_space	ai_candidate	高彩短拉链夹克有立领、肩片、巨量泡袖和抽绳，蓝绿粉橙与丹宁拼接；运动感与短宽夸张比例支持NEON，非低调基础外套。
g0377	outer	biker_tulle_long_jacket	biker_lapel	long_puff	thigh	belted_a	zip_belt_epaulettes_layered_tail	colorblock	high	leather_denim_tulle_look	black,denim_blue,dusty_pink	edge,oops	experimental;layering_volume_needs_space	ai_candidate	黑皮感长机车外套收腰皮带、丹宁拼袖、粉黑纱层长尾同时存在；甜酷语汇明确，不能把自带裙摆当配方里的独立半裙。
g0378	outer	baroque_puff_blazer	wide_lapel	long_puff	waist	corseted	ornate_shoulders_cuffs_contrast_trim	floral_texture	high	tweed_velvet_look	ivory,burgundy	bolt,heir	occasion_only;layering_volume_needs_space	ai_candidate	乳白粗织短西装有酒红大翻领、花饰肩片、收腰和巨泡袖，袖口也有繁复饰边；比普通学院短外套明显场合化。
g0379	outer	collarless_relaxed_jacket	collarless_v	long_rolled	hip	relaxed	three_buttons_patch_pockets	plain	low	washed_woven_look	brown	ease,wabi,film	thermal_weight_unknown	ai_candidate	棕色无领V襟外套三扣、贴袋、挽袖和柔软宽身呈自然休闲，布面有旧感；并非破坏拼片，低表达复用价值较高。
g0380	outer	ink_belted_long_coat	contrast_lapel	long_straight	calf	belted_a	contrast_cuffs_side_tie_flared_panels	ink_landscape	medium	matte_woven	ivory,black,red	jade,flou	requires_inner_layer	ai_candidate	乳白长外套黑翻领与袖口、水墨裙摆及细红色点清楚，侧系带收腰后长片展开；中式图案配现代外套结构，不等于传统礼服。
g0381	outer	contrast_band_cardigan	v_neck	long_dropped_puff	hip	oversized	buttons_patch_pockets_sleeve_ties	border	medium	soft_knit	ivory,gray	melt,ease,loop	layering_volume_needs_space	ai_candidate	奶白宽开衫配灰门襟宽边和袖口小系带，贴袋、低落肩及蓬袖明显；柔软舒适但叠其他窄袖外套需核对松量。
g0382	outer	angular_fitted_leather_jacket	asymmetric_lapel	long_fitted	hip	corseted	sharp_shoulders_diagonal_front_pointed_hem	plain	medium	leather_look	black,burgundy	noir,edge	layering_volume_needs_space	ai_candidate	黑酒红皮感外套肩角尖、前襟不对称、腰身紧收和长尖下摆形成强折线；NOIR结构证据明确，内搭应选择低袖量。
g0383	outer	patch_oversized_long_jacket	large_lapel	long_dropped_rolled	thigh	oversized	oversized_patch_pockets_irregular_panels	patchwork	high	washed_denim_wool_look	charcoal,brown,washed_blue	void,wabi,film	experimental;layering_volume_needs_space	ai_candidate	灰蓝棕长外套有超大袋、错位宽翻领、卷袖和多层毛边下摆，肩身松量很大；自然旧感但主视觉强，需避免内外都堆复杂片层。
g0384	outer	asymmetric_patch_crop_jacket	mixed_lapel	long_mismatched_puff	cropped	asymmetric	lace_panels_cords_chest_pockets	colorblock_lace	high	tailoring_denim_lace_look	denim_blue,charcoal,dusty_pink	oops,edge	experimental;layering_volume_needs_space	ai_candidate	短外套灰西装领与丹宁袋片拼粉蕾丝，左右袖量和破边不同、抽绳很多；有意反差但高密度，需单一素下装而非全套堆叠。
