token	category	subcategory	neckline	sleeve	length	volume	construction	pattern	decoration	material_appearance	main_colors	visual_personas	usage_limits	status	evidence
g0505	shoes	pointed_laceup_buckle_mid_boots	unknown	unknown	mid_calf	slim	laceup_front_two_buckle_straps_block_heel_side_ribbons	patchwork	 high	leather_denim_ribbon_look	black,washed_blue,pale_pink	edge,oops	comfort_unknown	ai_candidate	黑尖头粗跟中筒靴，洗蓝拼筒、双扣、粉纱绕带与系带并置。硬鞋尖与软粉带形成冲突，不只黑色标签；同套应减少其他同等级细节。
g0506	shoes	ornate_bow_mary_janes	unknown	unknown	low_cut	regular	round_toe_instep_strap_large_bow_jewel_buckle	floral	 high	velvet_patent_brocade_look	burgundy,ivory,gold	bolt,heir	occasion_only;comfort_unknown	ai_candidate	酒红亮圆鞋头、天鹅绒感蝴蝶结及金宝石扣，奶油花面侧边，脚背玛丽珍横带。戏剧古典场合鞋，不等同日常素乐福。
g0507	shoes	washed_colorblock_sneakers	unknown	unknown	low_cut	regular	laceup_round_toe_layered_panels_lugged_sole	colorblock	medium	suede_mesh_look	brown,olive,washed_blue	film,wabi,ease	comfort_unknown	ai_candidate	棕橄榄洗蓝拼面系带运动鞋、米粗绳和波纹灰底。旧色材料观感支持复古自然，运动用途与舒适未由图片验证。
g0508	shoes	ink_vamp_slingback_low_heels	unknown	unknown	low_cut	slim	pointed_toe_slingback_cross_vamp_small_bead	ink_botanical	medium	woven_leather_look	ivory,sage	jade,flou	comfort_unknown	ai_candidate	乳白墨叶鞋面、浅绿斜交细带与包头，细后绊和低跟。主鞋面有墨纹证据，非仅红点配件；行走稳定未知。
g0509	bag	utility_drawstring_bucket	unknown	unknown	unknown	rounded_bucket	drawstring_top_detachable_strap_front_pouches	colorblock	medium	canvas_knit_leather_look	ivory,taupe,lilac	loop,ease	capacity_unknown	ai_candidate	乳白抽绳桶包，灰褐底肩带、正面方袋与浅紫小圆挂包。结构模块化但细节稍多，容量与可拆卸性仅有连接件外观。
g0510	bag	long_structured_flap_satchel	unknown	unknown	unknown	wide_rectangular	long_top_handle_center_flap_strap_side_zips	colorblock	medium	grained_leather_textile_look	black,burgundy	noir,edge	capacity_unknown	ai_candidate	黑色细长横包有尖翻盖、中央长扣带、两侧斜拉链，暗酒红中央片。长直硬线比普通黑软包更支持NOIR。
g0511	bag	raw_draped_patch_hobo	unknown	unknown	unknown	slouchy_rounded	wide_patch_strap_layered_raw_flaps_side_gathers	patchwork	 high	washed_denim_coarse_woven_look	charcoal,brown,washed_blue	void,film,wabi	capacity_unknown	ai_candidate	灰棕旧蓝宽肩带软包、垂落不齐毛边片与侧抽褶。结构错位明确，但与同材质满层上下装搭配容易多主视觉。
g0512	bag	mixed_tailoring_patch_tote	unknown	unknown	unknown	angular_irregular	wide_straps_lapel_piece_lace_panel_drawcords	mixed_patchwork	 high	denim_suiting_lace_nylon_look	gray,denim_blue,lime,ivory,cobalt	oops,neon	capacity_unknown	ai_candidate	灰西装翻领片、牛仔片、乳白蕾丝和荧黄蓝抽绳袋拼成不齐托特。异质拼接是OOPS证据；NEON仅部分色块，不能代替整套人格。
g0513	bag	plain_short_shoulder_baguette	unknown	unknown	unknown	wide_low_rectangle	short_adjustable_strap_two_front_darts	plain	low	grained_leather_look	black	mute,loop,noir	capacity_unknown	ai_candidate	黑短肩带横向小包，浅弧口和两侧省线，其余无明显装饰。可作安静配件；黑色不保证强结构NOIR主表达。
g0514	bag	translucent_arc_panel_shoulder_bag	unknown	unknown	unknown	wide_low_crescent	curved_translucent_panels_narrow_strap	tonal_colorblock	medium	gloss_translucent_look	ice_blue,lilac	iced,loop	capacity_unknown	ai_candidate	冰蓝弧形横包叠浅紫半透流线片，窄肩带、细垂件。清透几何证据明确，不从光泽推断防水或真实材质。
g0515	bag	classic_two_tone_drawstring_bucket	unknown	unknown	unknown	rounded_bucket	drawstring_tassels_leather_base_top_handle_long_strap	colorblock	low	canvas_leather_look	navy,brown,ivory	heir,loop,film	capacity_unknown	ai_candidate	藏蓝桶身、棕底提手与抽绳，米白上缘，流苏细节。学院式规整桶形，不是高装饰宫廷手袋。
