token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o0121	ai_candidate	pants	fitted_crew_top_layered_wide_pants	bottom	1	pastel_pink_sage_cream	pale_pink,sage,ivory	casual	statement_not_daily	explore	spring,autumn	social,creative	{"flou":0.82,"melt":0.73,"oops":0.55,"ease":0.38}	FLOU：叠片宽裤的轻软长线；MELT：浅粉合体上身；非素色宽裤的日常复杂度	unknown	灰粉合体圆领长袖、浅粉绿层片阔裤，白桶包和奶白运动鞋。下装虽似长裙但可见分腿，是唯一强焦点；不可与普通白阔裤当作同一视觉强度。
o0122	ai_candidate	pants	plain_print_shirt_soft_drawstring_pants	top,bottom	1	pale_pink_cream	pale_pink,ivory	casual	everyday	easy	spring,autumn	daily,social	{"melt":0.79,"ease":0.74,"loop":0.59,"flou":0.60}	MELT：软粉色、抽绳宽量；EASE：简单领衫和运动鞋；花包只是装饰点	unknown	灰粉细花尖领衬衫配粉色抽绳软阔裤、粉色运动鞋和粉绿垂片包。衣服主结构不繁复，软色域统一，可作易穿但重复软裤需控制。
o0123	ai_candidate	pants	layered_floral_blouse_plain_wide_pants	top	1	pastel_pink_sage_ivory	pale_pink,sage,ivory	casual	everyday_with_statement	typical	spring,autumn	social,creative	{"flou":0.83,"melt":0.73,"ease":0.48}	FLOU：花卉轻透层片；MELT：软浅色；宽裤和运动鞋降低正式度但不消除上衣复杂度	unknown	粉绿层片宽衫与o0120同类，可见乳白覆层，配素奶白宽裤、灰粉素包和奶白运动鞋。主焦点集中上衣，不能称纯素基础穿搭。
o0124	ai_candidate	pants	wide_layered_top_fluid_wide_pants	top,bottom	1	cream_pink	ivory,pale_pink	casual	everyday_with_statement	typical	spring,autumn	social,daily	{"flou":0.78,"melt":0.78,"ease":0.65,"loop":0.45}	FLOU：宽上衣层摆和垂裤；MELT：粉边柔和体积；无明确利落收束，不高判LOOP	unknown	奶白宽短上衣有粉色层摆，配乳白流动长裤、粉绿垂片包和灰褐长靴。上下皆宽但色块层次可辨，偏柔软表达而非低装饰易穿。
o0125	ai_candidate	pants	plain_floral_shirt_ruffled_wide_jeans	bottom	1	cream_washed_blue_pink_sage	ivory,washed_blue,pale_pink,sage	dressy	statement_not_daily	explore	spring,autumn	creative,social	{"flou":0.80,"oops":0.63,"melt":0.62,"ease":0.30}	FLOU：粉绿垂片；OOPS：丹宁与蕾丝长靴反差；主裤强烈而不是日常甜美基础款	unknown	原尺寸确认下装是牛仔阔裤而非长裙，两腿外侧有大幅花卉纱片；搭细花白衬衫、素白桶包及同纱片长靴。裤和靴叠加复杂，保留实验场景。
o0126	ai_candidate	pants	loose_peach_blouse_straight_jeans	top,bottom	1	peach_washed_blue_pastel_accents	pale_peach,washed_blue	casual	everyday_with_statement	typical	autumn	daily,social	{"melt":0.72,"ease":0.66,"loop":0.51,"flou":0.51}	MELT：轻软衬衫与粉绒靴；主牛仔简单，花包只能作为辅助而非完整FLOU证据	unknown	浅桃色宽领衫配浅蓝直牛仔、粉绿垂片包与粉色绒口靴。主衣可穿，但厚绒靴改变季节体感，不列盛夏，也不据此宣称整套冬季保暖。
o0127	ai_candidate	pants	fitted_mockneck_wide_pants	top,bottom	1	ivory_ice_blue_pink_accent	ivory,ice_blue	casual	everyday	easy	spring,autumn	daily,commute	{"iced":0.77,"ease":0.76,"loop":0.75,"melt":0.64}	ICED：冷浅色与利落上窄下宽；EASE：宽裤；没有花边拼接，不按粉包高判浪漫层次	unknown	乳白合体小高领长袖搭冰蓝软阔裤、灰粉素包和灰棕踝靴。简单上窄下宽，主衣色彩与比例均有依据；同蓝宽裤需跨套去重。
o0128	needs_review	pants	floral_puff_blouse_layered_wide_pants	top,bottom	1	pastel_pink_sage_cream	pale_pink,sage,ivory	dressy	statement_not_daily	explore	spring,autumn	creative	{"flou":0.82,"melt":0.65,"oops":0.56,"ease":0.25}	FLOU：长垂片与花卉轻透；多处花边使表达强于默认日常，覆盖结构仍需确认	opaque_inner_unverified,multiple_focal_competition	原尺寸确认花边衬衫、粉绿长层片阔裤和包同时繁复，只有靴子素净；上衣肩胸的透视与是否有独立不透明内搭不清楚。下装为两腿，不误标成半裙。
o0129	ai_candidate	skirt	gathered_blouse_short_pleated_skirt	top,bottom	1	ice_blue_cream_pink	ice_blue,ivory,pale_pink	casual	everyday	easy	spring,autumn	daily,social	{"melt":0.82,"heir":0.66,"ease":0.67,"iced":0.58}	MELT：柔软圆袖、短展开裙和粉边；HEIR：规则褶量；蓝色不是ICED唯一依据	unknown	蓝灰抽褶宽袖上衣搭奶白粉边短褶裙、灰粉素包和奶白运动鞋。上软下短，装饰集中裙边，明显区别于长层裙。
o0130	ai_candidate	skirt	layered_floral_blouse_short_pleated_skirt	top	1	pastel_pink_sage_ivory	pale_pink,sage,ivory	casual	everyday_with_statement	typical	spring,autumn	social,creative	{"melt":0.79,"flou":0.78,"heir":0.48,"ease":0.42}	MELT：短褶裙与浅粉运动鞋；FLOU：上衣和包的轻层片；不只按短裙归学院	unknown	粉绿层片宽衫配奶白短百褶、同花垂片包和粉运动鞋。衫内可见乳白覆层，服装主焦点在上半身，整体甜软但不当纯基础易穿。
o0131	ai_candidate	skirt	fitted_crew_top_straight_midi	top,bottom	1	pale_pink_blue_gray	pale_pink,blue_gray	smart_casual	everyday	easy	spring,autumn	daily,commute	{"mute":0.77,"iced":0.76,"loop":0.73,"melt":0.60}	MUTE：贴合上身和窄直裙的低装饰；ICED：冷浅色加干净线条；粉色并不必然高甜度	unknown	灰粉合体圆领长袖配蓝灰窄中裙，白桶包和灰褐踝靴安静。主结构窄直，颜色柔和，能提供不同于大摆层裙的变化。
o0132	ai_candidate	skirt	plain_floral_shirt_diagonal_tiered_midi	bottom	1	pale_pink_ice_blue	pale_pink,ice_blue	casual	everyday_with_statement	typical	spring,autumn	daily,social	{"flou":0.81,"melt":0.72,"iced":0.60,"ease":0.51}	FLOU：蓝裙的斜层流线；MELT：轻细花及粉绿色包；非上衣同名标签继承	unknown	灰粉细花衬衫配冰蓝斜层中裙、粉绿垂片包及灰褐长靴。上衣图案轻、裙和包呼应流动量，适合典型柔和表达而非完全素净层。
o0133	ai_candidate	skirt	puff_floral_blouse_tiered_midi	top,bottom	1	cream_pale_pink	ivory,pale_pink	casual	everyday_with_statement	typical	spring,autumn	daily,social	{"melt":0.80,"flou":0.77,"ease":0.65,"heir":0.49}	MELT：圆领鼓袖及浅花；FLOU：长层摆；上下一起放量使表达较基础套装更强	unknown	奶白浅花圆领鼓袖衫与奶白水平层裙、灰粉素包和奶白运动鞋配套。颜色安静但体积不小，保留典型层而非把低彩都算易穿。
o0134	needs_review	skirt	fitted_sheer_ruffle_top_asymmetric_skirt	top,bottom	1	pastel_pink_sage_ivory	pale_pink,sage,ivory	dressy	statement_not_daily	explore	spring,summer	formal,social,creative	{"flou":0.86,"melt":0.64,"bolt":0.56,"ease":0.21}	FLOU：轻透斜片、荷叶袖与长裙；BOLT只在场合强度有部分证据，覆盖问题不能被适配分掩盖	opaque_inner_unverified	原尺寸中上衣胸肩为薄透贴身网感，未确认独立不透明内层；斜片长裙、装饰高跟和粉绒包有多处表达。先补内搭/衬里证明，不因色调统一放行。
o0135	ai_candidate	skirt	soft_peplum_knit_floral_layered_midi	bottom	1	cream_pink_sage	ivory,pale_pink,sage	dressy	statement_not_daily	explore	spring,autumn	social,creative	{"melt":0.79,"flou":0.77,"bolt":0.47,"ease":0.30}	MELT：圆袖柔软针织；FLOU：花纱层裙与同语汇靴；多焦点不等于默认易穿	unknown	奶白荷叶下摆针织搭粉绿花纱斜片裙、粉奶软包及花纱装饰靴。主裙与鞋呼应、上衣不透，但复杂度较高，保留实验社交。
o0136	ai_candidate	skirt	puff_knit_floral_layered_long_skirt	bottom	1	cream_pink_sage	ivory,pale_pink,sage	dressy	everyday_with_statement	typical	spring,autumn	social,creative	{"melt":0.80,"flou":0.78,"ease":0.37}	MELT：粉边鼓袖针织的甜软；FLOU：花纱长裙垂片；素靴减轻比装饰靴版的复杂度	unknown	奶白粉边长袖针织搭粉绿层片长裙、粉绒包和素灰褐长靴。鞋比o0135安静，主要视觉在裙，仍不作为基础日常覆盖。
