token	category	subcategory	neckline	sleeve	length	volume	construction	pattern	decoration	material_appearance	main_colors	visual_personas	usage_limits	status	evidence
g0409	bottom	lace_panel_leather_wide_pants	unknown	unknown	long	wide_flared	five_pockets_side_panels_buckle_straps_chains	contrast_patchwork	high	leather_denim_tulle_look	black,denim_blue,pink	edge,oops	creative_only;hem_clearance_unknown	ai_candidate	黑皮感双裤腿两侧加蓝丹宁与粉纱层片，环链带扣从臀侧延至脚口。甜酷语言和外扩裤型明确，必须与素主衣平衡，不将侧纱误作独立半裙。
g0410	bottom	ornate_tapered_trousers	unknown	unknown	ankle	tapered	front_pleats_pearl_buttons_curved_side_panels	floral_embroidery	medium	ivory_tweed_satin_look	ivory,gold	bolt,heir	occasion_only	ai_candidate	奶油锥裤以金色花枝侧饰、珠扣、弧形袋盖和缎感侧条提亮，中央相对素净。礼仪装饰较强，不作为所有HEIR用户的通勤基础裤。
g0411	bottom	washed_multifabric_wide_jeans	unknown	unknown	long	wide	asymmetric_side_panels_cargo_pocket	patchwork	medium	washed_denim_corduroy_tweed_look	washed_blue,brown,olive	film,wabi,void	hem_clearance_unknown	ai_candidate	蓝洗水宽牛仔侧拼棕色灯芯绒感、橄榄粗织与斜袋，裤脚有堆积。旧表面和厚薄块面有复古线索，具体年代与纤维不从图像断言。
g0412	bottom	ink_panel_wide_trousers	unknown	unknown	long	wide_straight	clean_waist_long_side_stripe_red_tie	ink_floral	medium	fluid_woven_look	ivory,charcoal,red	jade,flou,loop	unknown	ai_candidate	乳白直宽裤两边墨色山枝笔触、腰侧小红扣和垂带，中央素色纵线完整。墨枝与直长比例支持JADE，不只是任意黑白印花。
g0413	bottom	curved_seam_balloon_jeans	unknown	unknown	long	balloon	five_pockets_curved_leg_seams_tapered_hem	washed_gradient	low	washed_denim_look	washed_blue	loop,ease,film	hem_clearance_unknown	ai_candidate	洗蓝牛仔裤由弧形长接缝塑造外扩腿量，脚口微收，腰头及五袋常规。真正区别于直宽牛仔的是气球轮廓，可计入比例变化而非只算颜色变化。
g0414	bottom	angular_panel_dark_wide_pants	unknown	unknown	long	wide_straight	angular_cargo_flaps_long_side_panels	tonal_patchwork	medium	matte_leather_suiting_look	black,burgundy	noir,edge	unknown	ai_candidate	黑色长直宽裤两侧深酒红包片、斜盖袋与尖角长片，正中纵线安静。低彩且锐角支持NOIR，也可作EDGE的较素下装。
g0415	bottom	raw_layered_drawstring_wide_pants	unknown	unknown	long	oversized	elastic_tie_waist_cascading_raw_side_panels	patchwork	medium	washed_coarse_woven_denim_look	charcoal,brown,washed_blue	void,wabi,film	hem_clearance_unknown	ai_candidate	灰宽裤两外侧多层棕蓝粗织片垂落，毛边明显、腰抽绳、裤脚堆褶。错位层次支持VOID，但多片量感需留出素上半身，不保证走路不绊。
g0416	bottom	asymmetric_mixed_panel_trousers	unknown	unknown	long	unequal_wide_tapered	asymmetric_leg_panels_ties_flaps	patchwork	high	suiting_denim_lace_gloss_floral_look	charcoal,denim_blue,pink,silver	 oops,edge	creative_only	ai_candidate	灰西装裤一腿拼牛仔白蕾丝亮粉，另一腿银膜与花布绑结，腿型也不对称。OOPS解构证据明确；多图案焦点不宜再配全拼上衣。
g0417	bottom	plain_pleated_wide_trousers	unknown	unknown	long	wide	front_pleats_belt_loops_clean_hem	plain	low	matte_suiting_look	charcoal	mute,loop,heir	hem_clearance_unknown	ai_candidate	炭灰高腰前褶宽裤，门襟腰袢规整、裤腿向下宽直，没有额外口袋装饰。安静裁剪可用于MUTE与LOOP，但与既有同版深裤须建立家族。
g0418	bottom	clean_straight_trousers	unknown	unknown	ankle	straight	flat_front_slant_pockets_belt_loops	plain	low	smooth_woven_look	ice_blue	iced,loop,mute	unknown	ai_candidate	浅蓝平整前片直裤，腰头窄、无明显大褶，脚口不堆积。相比g0402更直更短，构成实际裤长松量差异，不能把所有浅蓝裤当同款。
