token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o0025	ai_candidate	dress	waisted_short_sleeve_straight_midi	dress	1	muted_taupe_dark_accents	taupe	casual	everyday	easy	summer	daily	{"mute":0.72,"ease":0.68,"loop":0.67,"jade":0.42}	MUTE：朴素窄长裙身低装饰；EASE：宽短袖日常；JADE：只有包的植物交叠纹样，主体证据弱	unknown	灰褐短袖中长裙有轻腰线，黑厚底玛丽珍与墨花小包、吊饰补细节；不能靠配件将整套判为典型东方人格。
o0026	ai_candidate	dress	belted_shirtdress_layered_flared_hem	dress	1	light_body_dark_accessories	ivory	smart_casual	everyday_with_statement	explore	spring,autumn	social,creative	{"loop":0.72,"flou":0.70,"heir":0.64,"mute":0.57}	LOOP：经典衬衫裙与厚重鞋对照；FLOU：层摆柔化；HEIR：领腰结构有但包鞋装饰偏多	unknown	米白系腰长衬衫裙带两层斜摆，深蓝酒红抽口包、小坠饰和黑系带厚鞋形成轻重混搭。可以作探索，不按无装饰通勤基础款归类。
o0027	ai_candidate	dress	strappy_layered_a_maxi	dress	1	tonal_pale_blue_light_accents	ice_blue	smart_casual	everyday_with_statement	typical	summer	social,travel	{"flou":0.84,"iced":0.76,"melt":0.64,"mute":0.42}	FLOU：细带与多层流摆；ICED：轻冷光泽与纤长；MUTE：层摆明显，不能当直线极简裙	unknown	冰蓝细肩带长裙多层斜摆，白软包、细浅腰带和蓝低跟鞋，色彩重复统一而非随机。适合暖季社交度假，不属于默认保暖场景。
o0028	ai_candidate	dress	sleeveless_straight_midi	dress	1	muted_taupe_blue_accent	taupe	casual	everyday	easy	summer	daily	{"mute":0.76,"ease":0.73,"loop":0.70}	MUTE：无袖直身低饰；EASE：简单生活化鞋包；蓝包不代表主服装命中蓝色偏好	unknown	灰褐无袖直身裙、浅蓝休闲翻盖包、米白后空低跟与细项链，主裙朴素完整，暖季易穿。
o0029	ai_candidate	dress	strappy_modular_fit_and_flare_mini	dress	1	neutral_gray_ivory	ivory,charcoal	creative_statement	statement_not_daily	typical	spring,autumn	creative,social	{"oops":0.80,"loop":0.69,"edge":0.65,"mute":0.23}	OOPS：主动错片和失衡但灰白重复；LOOP：模块设计清楚；MUTE：束腰与层片过强，不是低饰	unknown	灰白吊带束腰短裙叠多层工装片和长垂带，搭灰褐长靴、淡绿小包与细银饰。主裙是单一强焦点，可保留创意场景，不进入易穿配额。
o0030	ai_candidate	dress	belted_straight_shirtdress	dress	1	tonal_charcoal_light_bag	charcoal	smart_casual	everyday	easy	spring,autumn	daily,commute	{"mute":0.81,"loop":0.76,"heir":0.65}	MUTE：经典领襟与窄长低饰；LOOP：腰带可调；HEIR：经典但缺更明确传统剪裁	unknown	炭灰长袖系腰衬衫裙配黑平底鞋、白软包及小胸针，衣领腰线完整，日常正式度适中，不靠夸张配件抢视觉。
o0031	needs_review	pants	fitted_sheer_shirt_fluid_wide_pants	top,bottom	1	tonal_pale_blue	ice_blue	social_statement	requires_inner_layer_check	typical	spring,summer	social	{"iced":0.89,"flou":0.70,"mute":0.47}	ICED：轻透收腰和纤长光泽；FLOU：飘垂宽裤；透明内层未明确，不能只因同色放行	missing_opaque_inner_layer_spec	冰蓝透视领衫配同色光泽宽长裤、褶包和银踝带细跟鞋，冷感清楚但胸身遮蔽规格未知；需补明确内搭，不用于默认单穿推荐。
o0032	ai_candidate	pants	fitted_tshirt_straight_pants	top,bottom	1	tonal_pale_blue	ice_blue,steel_blue	casual	everyday	easy	summer	daily,commute	{"iced":0.82,"mute":0.73,"loop":0.73}	ICED：收净短 T 与直长裤和小面积冷光；MUTE：低饰直线；不是只看鞋色	unknown	浅蓝合体短 T、蓝灰直裤、蓝托特和冰蓝乐福，四件均克制。适合蓝色偏好但应避免与蓝衬衫直裤连续堆满首屏。
o0033	ai_candidate	pants	loose_shirt_straight_pants	top,bottom	1	gray_blue_muted_contrast	light_gray,steel_blue	smart_casual	everyday	easy	spring,autumn	daily,commute	{"mute":0.79,"ease":0.77,"loop":0.72,"iced":0.65}	EASE：宽衬衫自然落肩；MUTE：裤管收净低饰；ICED：整体较松而非全身纤细	unknown	浅灰宽袖翻领衬衫接蓝灰直裤，黑软包与蓝低跟鞋，松上直下有变化但仍属基础领衫裤装家族。
o0034	ai_candidate	pants	draped_top_wide_black_pants	top,bottom	1	tonal_dark_blue_bag	black,charcoal	smart_casual	everyday	easy	spring,autumn	daily,commute	{"mute":0.84,"loop":0.73,"iced":0.63}	MUTE：低饰垂褶与直长宽裤；ICED：纤长有但蓝色只在包，不能称全套冰蓝	unknown	黑侧垂褶上衣配黑宽裤和灰褐长靴，换浅蓝包仍不能制造新的主服装体感；保留但需全组去重限制。
o0035	ai_candidate	pants	fitted_scoop_knit_straight_jeans	top,bottom	1	tonal_blue_light_accents	ice_blue,denim_blue	casual	everyday	easy	spring,autumn	daily	{"iced":0.84,"loop":0.73,"mute":0.64}	ICED：宽圆领细针织收腰和直腿牛仔；LOOP：干净基础模块；风格来自衣身而非单个蓝鞋	unknown	冰蓝大圆领合体长针织配浅直牛仔、白软包和蓝玛丽珍，整体清爽，暖凉过渡季可用，未声称严冬保暖。
o0036	ai_candidate	pants	waisted_sleeveless_shirt_wide_cropped_bottom	top,bottom	1	pale_blue_cream_dark_boots	ice_blue,cream	smart_casual	everyday_with_statement	typical	spring,autumn	daily,social	{"iced":0.78,"loop":0.75,"heir":0.67}	ICED：收净无袖领衫；LOOP：窄上宽下与靴体积；HEIR：领裤经典但黑软高靴偏休闲	unknown	浅蓝收腰无袖领衫配米白宽裤、黑褶软靴和白包，靴的重量比普通乐福更强；适合过渡季表达，不以轻夏鞋方案计入。
o0037	ai_candidate	pants	classic_shirt_fluid_wide_bottom	top,bottom	1	blue_black_contrast	ice_blue,black	smart_casual	everyday_with_statement	typical	spring,autumn	commute,social	{"mute":0.80,"iced":0.76,"loop":0.73}	MUTE：经典领衫和宽直裤；ICED：银细跟与轻冷上装；社交鞋型限制活动场景	unknown	蓝基础衬衫、黑垂宽裤、黑托特与银踝带细跟鞋，衣物简洁但鞋提升正式度，不应把它当长途步行推荐。
o0038	ai_candidate	pants	fitted_crew_top_straight_pants	top,bottom	1	taupe_blue_muted_contrast	taupe,ice_blue	smart_casual	everyday	easy	spring,autumn	daily,commute	{"iced":0.77,"mute":0.77,"loop":0.74}	ICED：收净长袖和窄直裤；MUTE：低饰日常；灰褐上衣仍能表达 ICED，不固定人格配色	unknown	灰褐贴身圆领长袖配冰蓝直裤、冰蓝乐福与黑灰束口包，蓝色占一件主服装而非只有配件，整体松紧克制。
o0039	ai_candidate	pants	cowl_top_wide_dark_jeans	top,bottom	1	tonal_dark_light_bag	black,dark_denim	casual	everyday	easy	spring,autumn	daily,social	{"mute":0.80,"loop":0.75,"film":0.58,"iced":0.63}	MUTE：一处垂领与暗色直线；FILM：丹宁不足以独立支持复古；不能因浅蓝包判全套冷轻	unknown	黑垂领宽袖上衣接深阔腿牛仔，浅蓝褶包和蓝低跟提亮。裤料改变较素黑西裤可见，但还需主上衣重复抑制。
o0040	ai_candidate	pants	straight_shirt_fluid_wide_pants	top,bottom	1	tonal_blue	steel_blue,ice_blue	smart_casual	everyday	easy	spring,autumn	daily,commute	{"iced":0.83,"mute":0.76,"loop":0.72}	ICED：冷光飘垂宽裤；MUTE：低饰领衫；直线与流动材质结合而非纯紧身	unknown	灰蓝衬衫、冰蓝光泽宽裤、浅蓝托特和灰褐长靴，低对比蓝色主服装明确；宽裤和靴的自然落摆仍需真实试穿验证。
o0041	needs_review	skirt	fitted_sheer_shirt_bias_ruffle_midi	top,skirt	1	tonal_ice_blue	ice_blue	social_statement	requires_inner_layer_check	typical	spring,summer	social	{"iced":0.87,"flou":0.77,"mute":0.38}	ICED：轻透纤长与斜裁光泽；FLOU：荷叶裙摆；不是仅冷色素裙，且内层未知	missing_opaque_inner_layer_spec	透视冰蓝衬衫配亮蓝斜摆裙、银细跟和黑包，浪漫冷感成立，但无明确不透明内搭，不能把衬衫扣合当作充分覆盖证明。
o0042	ai_candidate	skirt	fitted_tshirt_simple_a_midi	top,skirt	1	tonal_pale_blue	ice_blue	casual	everyday	easy	summer	daily	{"iced":0.80,"melt":0.70,"loop":0.70,"mute":0.65}	ICED：收净短 T 与低装饰冷轻材质；MELT：柔和 A 裙；蓝色之外仍有明确比例	unknown	浅蓝短 T 配浅蓝素 A 裙、淡蓝褶包和光泽乐福，轮廓比直裙柔和；不把同色的裤装版本当完全相同但也要抑制全蓝集中。
