token	category	subcategory	neckline	sleeve	length	volume	construction	pattern	decoration	material_appearance	main_colors	visual_personas	usage_limits	status	evidence
g0481	dress	plain_side_ruched_straight_midi	 round	sleeveless	midi	fitted_straight	side_gathers_front_slit	plain	low	matte_woven_look	charcoal	mute,iced,loop	walking_ease_unknown	ai_candidate	炭灰无袖圆领直中长裙腰侧一处斜收褶，裙前开缝。低装饰长H线能提供克制人格变化，不因深色自动归强肩NOIR。
g0482	shoes	pointed_mary_jane_flats	unknown	unknown	low_cut	slim	instep_buckle_strap_crossed_toe_panels	plain	low	gloss_translucent_look	ice_blue	iced,heir,loop	comfort_unknown	ai_candidate	浅蓝尖圆头平鞋有单脚背细扣带、鞋头交叠半透明片和亮鞋尖。纤细清透结构明确，平底不等于已验证舒适。
g0483	shoes	retro_panel_laceup_sneakers	unknown	unknown	low_cut	regular	slim_laceup_upper_ridged_sole	textured_patchwork	medium	suede_mesh_tweed_look	ivory,navy,beige,burgundy	heir,film,loop	comfort_unknown	ai_candidate	奶油藏蓝米色旧式系带运动鞋拼粗花呢感侧面，酒红后跟、棕纹底。复古学院感来自材料和窄长轮廓，不只配色。
g0484	shoes	pointed_crossstrap_slingback_heels	unknown	unknown	low_cut	slim	crossed_vamp_straps_adjustable_slingback_low_heel	plain	low	textured_canvas_leather_look	beige,brown	ease,heir,film	comfort_unknown	ai_candidate	米布面尖头低跟后绊鞋，棕细带在脚背交叉并绕后跟。自然表面与轻细线条可作安静配件，不保证步行支撑。
g0485	shoes	soft_knit_pompom_winter_boots	unknown	unknown	mid_calf	bulky	ribbed_shaft_fleece_cuffs_drawstring_pompoms_chunky_sole	colorblock	medium	knit_fleece_suede_look	pale_pink,ivory	melt	winter_visual_weight;thermal_unknown	ai_candidate	浅粉奶油中筒靴有毛绒筒口、毛球绳、罗纹软筒和厚底，视觉厚暖。不能与薄裸肩短花裙按粉色相同自动配季节，真实保暖未知。
g0486	shoes	wrapped_textile_low_shoes	unknown	unknown	low_cut	regular	wide_crossed_wrapping_panels_round_toe_low_sole	tonal_patchwork	medium	coarse_woven_leather_look	taupe,olive,brown	wabi,ease,film	comfort_unknown	ai_candidate	褐橄榄圆头低鞋以宽粗织带交叠覆盖前掌，后部皮感支撑、棕低底。自然包裹层次支持WABI，实际系固与舒适未知。
g0487	shoes	floral_draped_ankle_stiletto_boots	unknown	unknown	ankle	slim	pointed_toe_stiletto_side_drapes_rosette	floral_lace	medium	satin_lace_chiffon_look	pale_pink,sage,ivory	flou,melt	occasion_only;comfort_unknown	ai_candidate	粉绿乳白尖头细跟踝靴，薄纱绕筒和花结向侧垂下。属轻花饰场合鞋，不是毛绒冬靴；走路稳定性未知。
g0488	shoes	bright_mary_jane_sneakers	unknown	unknown	low_cut	chunky	wide_buckle_strap_sculpted_sport_sole	colorblock	high	gloss_mesh_rubber_look	blue,orange,lime,pink	neon,oops	comfort_unknown	ai_candidate	高彩蓝橙绿粉运动底玛丽珍以宽扣带代替鞋带，粗颗粒分块鞋底。运动功能外观与亮色共同支持NEON，但单鞋不能决定整套人格。
g0489	shoes	denim_lace_chunky_sneakers	unknown	unknown	low_cut	chunky	laceup_multi_panel_upper_wavy_sole	contrast_patchwork	medium	leather_denim_mesh_look	black,gray,denim_blue,pink	edge,oops	comfort_unknown	ai_candidate	黑灰蓝丹宁粉色拼运动鞋，粉鞋带及粉里、波浪厚底，材质面块多。甜酷作为次焦点即可，不能在全身满装饰时继续增密。
g0490	shoes	ornate_bow_slingback_heels	unknown	unknown	low_cut	slim	pointed_toe_low_heel_buckle_slingback_jewel_bow	floral_texture	high	tweed_velvet_satin_look	ivory,burgundy,gold	bolt,heir	occasion_only;comfort_unknown	ai_candidate	奶油酒红尖头后绊细跟鞋，酒红鞋尖与蝴蝶结上有宝石金饰，鞋身粗花呢感。礼仪精致度高，不是普通棕乐福的等价替换。
g0491	shoes	retro_patch_slouch_long_boots	unknown	unknown	knee	soft_slouch	low_block_heel_layered_shaft_panels_ties	patchwork	medium	suede_denim_coarse_woven_look	brown,washed_blue,olive	film,wabi,void	shaft_fit_unknown;comfort_unknown	ai_candidate	棕旧皮感长靴筒部大堆褶，中段蓝丹宁及粗织裹片系结，低粗跟。复古旧面与软筒明确，腿围适配不能从图像推断。
g0492	shoes	ink_panel_classic_loafers	unknown	unknown	low_cut	regular	almond_toe_penny_strap_low_block_heel_small_red_detail	ink_floral	low	woven_leather_look	ivory,black,red	jade,heir,loop	comfort_unknown	ai_candidate	乳白墨枝鞋面配黑鞋边和乐福横带、小红珠饰，低粗跟。墨纹与黑白线条可支持JADE配件，但仅鞋有墨纹不代表主衣人格命中。
g0493	shoes	metal_toe_wrapped_ankle_boots	unknown	unknown	ankle	slim	pointed_metal_toecap_zip_wrapped_straps_slim_heel	colorblock	medium	matte_leather_metal_look	ivory,gray,silver	loop,iced,noir	occasion_only;comfort_unknown	ai_candidate	奶油灰踝靴有银色尖鞋头、拉链和绕筒带片，细高跟。干净金属与模块带结构有辨识度，实际活动和支撑未知。
g0494	shoes	chunky_dark_mary_janes	unknown	unknown	low_cut	chunky	buckle_instep_strap_round_toe_lug_sole	plain	low	polished_leather_look	burgundy,black	noir,edge,heir	comfort_unknown	ai_candidate	深酒红圆头玛丽珍使用较厚黑齿底与扣带，无额外花纱。硬朗重量可作甜酷配件，不应按暗色独断整套NOIR。
g0495	shoes	raw_patch_chunky_sneakers	unknown	unknown	low_cut	chunky	laceup_raw_overlay_panels_irregular_sport_sole	patchwork	medium	washed_denim_suede_mesh_look	gray,taupe,washed_blue	void,film,wabi	comfort_unknown	ai_candidate	灰褐旧蓝运动鞋多层毛边布片和粗鞋带覆盖鞋面，鞋底波浪堆量。自然旧面与破边是证据，不等于全身再堆破边也合理。
g0496	shoes	patch_pointed_slingback_heels	unknown	unknown	low_cut	slim	cross_vamp_straps_adjustable_slingback_small_heel	contrast_patchwork	medium	denim_lace_patent_look	black,denim_blue,pink,ivory	oops,edge	occasion_only;comfort_unknown	ai_candidate	黑亮尖头粉蓝丹宁白蕾丝后绊鞋，细带横交脚背、细低跟。多材料错位集中小面积，可为素主衣探索，不保证日常走路舒适。
g0497	shoes	plain_knit_shaft_long_boots	unknown	unknown	knee	soft_slouch	knit_cuff_plain_shaft_round_toe_lug_sole	plain	low	knit_matte_leather_look	charcoal,black	mute,loop,noir	shaft_fit_unknown;thermal_unknown	ai_candidate	炭灰针织口长靴以素软筒堆褶接黑圆鞋头与厚齿底。装饰低但视觉重量厚，不把低装饰当作所有季节适配。
g0498	shoes	gloss_pointed_bit_loafers	unknown	unknown	low_cut	slim	pointed_almond_toe_metal_bit_low_flat_heel	plain	low	gloss_leather_look	ice_blue,silver	iced,loop,heir	comfort_unknown	ai_candidate	冰蓝亮面尖圆头乐福鞋配小银横扣，鞋身细长、低跟。线条和光泽共同支持清爽配件，同色不同鞋型仍应记录。
g0499	shoes	slouch_tie_ankle_boots	unknown	unknown	ankle	slim	pointed_toe_slim_heel_wrapped_ankle_tie	plain	low	polished_leather_look	burgundy	heir,noir,film	comfort_unknown	ai_candidate	酒红尖头踝靴筒口轻堆褶，脚踝细绳绕结、细跟，鞋面较素。复古优雅方向可复用，和厚底玛丽珍不是同版。
g0500	shoes	canvas_leather_mary_janes	unknown	unknown	low_cut	regular	round_toe_single_buckle_strap_low_heel	colorblock	low	canvas_suede_leather_look	beige,brown	ease,heir,film	comfort_unknown	ai_candidate	米布面玛丽珍配棕绒感圆鞋头、细扣带和低方跟。自然低负担观感成立，不能声称真皮或全天舒适。
g0501	shoes	soft_tonal_sport_sneakers	unknown	unknown	low_cut	chunky	laceup_mesh_panels_rounded_sport_sole	colorblock	low	mesh_suede_rubber_look	ivory,pale_pink	melt,ease,loop	comfort_unknown	ai_candidate	奶油浅粉系带运动鞋以圆弧拼面和软形厚底为主，颜色近似、无夸张装饰。MELT配件表达温和，同款换色应归近似家族。
g0502	shoes	wrapped_laceup_low_heels	unknown	unknown	low_cut	regular	crossed_textile_vamp_ankle_laces_round_toe_low_heel	tonal_patchwork	medium	coarse_woven_leather_look	taupe,olive,brown	wabi,ease	comfort_unknown;tied_strap_fit_unknown	ai_candidate	灰褐低跟鞋以粗织前掌交片和细踝绳固定，圆鞋头露皮感边。自然包裹语言清楚，绳带穿法与实际固定性未知。
g0503	shoes	floral_draped_knee_stiletto_boots	unknown	unknown	knee	slim	pointed_toe_stiletto_layered_shaft_drapes_rosettes	floral_lace	medium	lace_chiffon_satin_look	pale_pink,sage,ivory	flou,melt	occasion_only;shaft_fit_unknown;comfort_unknown	ai_candidate	粉绿花纱长筒尖头细跟靴，多层薄侧片沿筒垂落。与g0487同材料家族但筒高不同；不是毛绒保暖靴，真实防透及腿围未知。
g0504	shoes	bright_blockheel_loafers	unknown	unknown	low_cut	chunky	penny_strap_block_heel_lug_sole	colorblock	high	patent_mesh_rubber_look	blue,orange,lime,pink	neon,oops	comfort_unknown	ai_candidate	蓝橙亮面乐福鞋配粉横带、绿齿底与彩色粗跟，鞋型介于学院与运动夸张。高彩结构鲜明，但不能靠换它让同套主衣充当新人格搭配。
