token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o0505	ai_candidate	pants	plain_blazer_large_botanical_shirt_dark_jeans	top	2	taupe_charcoal_gray	taupe,charcoal,gray	casual	everyday_with_statement	explore	spring,autumn	daily,social	{"film":0.64,"loop":0.61,"mute":0.51,"jade":0.34}	灰大植物衬衫由素无领外套和素旧色牛仔包围，低彩有主次；图案不能代替传统襟领证据	unknown	原图灰米素无领西装、灰黑花叶普通翻领衬衫、深灰直宽牛仔、黑素托特和黑皱筒靴。非三件混料同时堆叠，保留低彩探索。
o0506	ai_candidate	pants	plain_bomber_overlap_blouse_curved_wide_jeans	top,bottom	2	ice_blue_ivory_denim	ice_blue,ivory,denim_blue	casual	everyday_with_statement	explore	spring,autumn	daily,social	{"jade":0.62,"loop":0.61,"ease":0.59,"film":0.42}	米白立领偏襟细滚边是结构证据，宽弧线牛仔和素夹克使之日常化，非墨纹配件代替人格	unknown	原图蓝素宽袖拉链短夹克、米白偏襟软收袖衫、曲线缝牛仔宽裤、灰黑抽绳包与蓝玛丽珍。内袖为柔软收口而非层叠大喇叭，不机械继承o0507的宽袖冲突；实际尺寸未知。
o0507	needs_review	pants	plain_trench_ink_bell_sleeve_blouse_plain_blue_pants	top	2	ivory_ice_blue_charcoal	ivory,ice_blue,charcoal	smart_casual	occasion_with_statement	typical	spring,autumn	social,creative	{"jade":0.72,"heir":0.47,"loop":0.40}	黑边偏襟盘扣墨枝上衣有明确JADE证据，胸腹实体但大喇叭袖叠普通风衣空间未确认	outer_inner_volume_unverified	原图米白素系腰风衣、米白黑纱墨枝喇叭袖衫、浅蓝素锥裤、多袋浅包与棕骑士靴。简化裤并没有解决内外袖量，需确认穿法或换窄袖内搭。
o0508	ai_candidate	dress	plain_sleeveless_side_draped_long_dress	dress	1	taupe	taupe	casual	everyday_with_statement	explore	spring,summer	daily,social	{"melt":0.72,"mute":0.61,"ease":0.54,"jade":0.22}	素灰褐侧褶长裙主导柔线，墨纹袋和鞋为配件探索，不能据此变成JADE典型	unknown	灰褐无袖侧褶长裙、白黑墨枝小袋、细小饰物和黑色装饰玛丽珍。裙子无传统领襟证据，保持主衣与配件人格贡献区别。
o0509	ai_candidate	dress	plain_sleeveless_short_shirtdress	dress	1	ice_blue	ice_blue	casual	everyday_with_statement	explore	spring,summer	daily,social	{"heir":0.71,"loop":0.65,"iced":0.52,"noir":0.21}	短翻领排扣A裙与黑厚鞋呈学院轻反差，黑鞋不意味着主裙尖肩戏剧风格	unknown	浅蓝收腰无袖短衬衫裙、藏蓝酒红提包、小饰物、黑厚底装饰乐福。与长直裙有真实长短变化，可作日常候选不夸大功能。
o0510	ai_candidate	dress	plain_notch_neck_short_sleeve_a_line_dress	dress	1	ivory	ivory	smart_casual	everyday	easy	spring,summer	daily,commute	{"heir":0.72,"ease":0.66,"loop":0.61,"mute":0.57}	小开口圆领、短袖、规整收腰A摆清楚，细腰带只是可加入的轻线条	unknown	原图米白短袖长A裙、白素肩包、一条米白细皮带与浅蓝乐福。裙无自带系腰带，不能套用此前双腰带互斥冲突；实际系带尺寸未验证。
o0511	ai_candidate	dress	plain_sleeveless_fitted_long_dress	dress	1	ice_blue	ice_blue	casual	everyday	easy	spring,summer	daily,social	{"iced":0.70,"mute":0.64,"loop":0.60,"melt":0.58}	素浅蓝收腰长直裙连续纵线克制，普通信使包与低鞋保持轻量日常	unknown	浅蓝无袖圆领长裙、蓝素信使包、细项链和米白后空低鞋。没有复杂拼贴或过量层片，不虚构礼服场景强度。
o0512	needs_review	dress	ink_frog_collar_flared_sleeve_layered_gown	dress	1	ivory_charcoal_red	ivory,charcoal	formal	statement_not_daily	typical	spring,autumn	formal,creative	{"jade":0.90,"bolt":0.61,"flou":0.33}	立领盘扣墨枝、束腰和大垂袖长裙是强传统场合表达，普通托特和通勤长靴的使用场景尚未统一	occasion_accessory_balance_unresolved	原图米白黑墨枝层纱大袖长礼裙、灰绿普通托特、银饰和灰棕长靴。人格证据强不等于默认日常成立，建议用场合鞋包或改主裙为轻量日常版。
o0513	ai_candidate	dress	plain_square_neck_strap_straight_midi	dress	1	navy	navy	casual	everyday	easy	spring,summer	daily,social	{"mute":0.72,"heir":0.64,"loop":0.60,"noir":0.23}	素方领肩带直裙规整，黑玛丽珍小复古，深色不是NOIR强结构证据	unknown	藏蓝方领肩带中长直裙、白素包、小饰物与黑玛丽珍。和层纱长礼裙不同，不按同为裙装混在同等场景。
o0514	ai_candidate	pants	fitted_blue_henley_soft_blue_wide_pants	top,bottom	1	ice_blue	ice_blue	casual	occasion_with_statement	explore	spring,autumn	commute,social	{"iced":0.77,"melt":0.63,"mute":0.54}	蓝合体针织与柔垂宽裤形成上收下放，银高跟增加局部光泽但不改成实验造型	unknown	浅蓝小排扣合体长袖、浅蓝软宽裤、蓝褶小包和银尖细高跟。主要色域蓝，不据鞋色承诺肤色或腿型效果。
o0515	ai_candidate	pants	plain_sleeveless_blue_shirt_soft_blue_wide_pants	top,bottom	1	ice_blue	ice_blue	casual	occasion_with_statement	explore	spring,summer	social,commute	{"iced":0.73,"heir":0.62,"loop":0.60}	无袖素衬衫与软长裤有领型和露臂差别，整体冷浅色克制；同裤仍应限频	unknown	浅蓝翻领收腰无袖衫、浅蓝软宽裤、蓝褶包和银尖高跟。主上衣实体，不和o0516透视衫混判，真实舒适及环境温度未知。
o0516	needs_review	pants	sheer_fitted_blue_shirt_plain_blue_trousers	top,bottom	1	ice_blue	ice_blue	casual	unknown	typical	spring,summer	social	{"iced":0.77,"melt":0.50,"loop":0.35}	冷浅光泽收腰线有ICED证据，但内层覆盖未确认仍是可用性门槛	opaque_inner_unverified	原图与o0480同类浅蓝透视收腰衬衫和浅蓝锥裤，仅换蓝托特与亮面乐福。没有新增内搭，不能因为全蓝配色一致就通过。
o0517	ai_candidate	pants	plain_blue_shirt_plain_blue_trousers	top,bottom	1	ice_blue	ice_blue	casual	everyday	easy	spring,autumn	daily,commute	{"iced":0.69,"loop":0.68,"mute":0.56}	素普通蓝衬衫与蓝锥裤平整克制，同色只是底层配色，日常性来自衣形而非透纱	unknown	浅蓝普通长袖翻领衬衫、浅蓝直锥裤、蓝托特和亮面蓝乐福。和o0516换的是实体宽衬衫，不继承透明内搭疑点。
o0518	ai_candidate	pants	fitted_taupe_top_plain_blue_trousers	top,bottom	1	taupe_ice_blue	taupe,ice_blue	casual	everyday	easy	spring,autumn	daily,commute	{"mute":0.71,"loop":0.66,"melt":0.57,"iced":0.53}	素合体灰褐长袖与浅蓝素裤低装饰，有温和色差而非复杂图案	unknown	灰褐圆领贴身长袖、浅蓝锥裤、黑素肩包与浅蓝乐福。颜色来自两件主衣，不能只按模板偏好色计人格。
o0519	ai_candidate	pants	plain_wide_blue_shirt_plain_blue_trousers	top,bottom	1	ice_blue	ice_blue	casual	everyday	easy	spring,autumn	daily,commute	{"loop":0.72,"iced":0.65,"ease":0.58,"mute":0.57}	素宽蓝衬衫与直锥裤改变上身松量，全套仍是低彩规则日常	unknown	蓝灰细纹宽衬衫、浅蓝锥裤、黑素包与浅蓝乐福。和o0518共裤鞋包，也与o0517近似蓝衬衫配蓝裤，需在家族与主件层面共同抑制。
o0520	ai_candidate	pants	plain_dark_cowl_top_dark_wide_pants	top,bottom	1	charcoal_black	charcoal,black	casual	everyday	easy	autumn	daily,commute	{"mute":0.77,"loop":0.66,"void":0.36,"noir":0.25}	黑软垂领和黑宽裤没有结构夸张，蓝袋只是点缀，不能把深色当强戏剧人格	unknown	炭灰垂领长袖、黑宽裤、蓝素信使包和棕灰长靴。与o0469相近主衣结构，换包也不能视作全新轮廓。
o0521	ai_candidate	pants	plain_fitted_blue_tee_dark_wide_pants	top,bottom	1	ice_blue_black	ice_blue,black	casual	everyday	easy	spring,autumn	daily,social	{"loop":0.75,"mute":0.64,"iced":0.55}	浅蓝短T配黑宽裤是上轻下长基础比例，颜色与袖长有变但裤形没有新增	unknown	浅蓝合体短袖、黑宽裤、蓝信使包和棕灰长靴。短袖长靴为过渡季可讨论造型，不由一双长靴推断冬季适用。
o0522	ai_candidate	pants	plain_light_shirt_straight_light_jeans	top,bottom	1	ivory_denim_blue	ivory,denim_blue	casual	everyday	easy	spring,autumn	daily,commute	{"loop":0.79,"ease":0.70,"heir":0.53}	素白翻领衬衫和直牛仔经典，浅蓝玛丽珍轻巧而无多余层片	unknown	米白宽长衬衫、浅蓝直筒牛仔、白素肩包、浅蓝玛丽珍。与前批同白衬衫牛仔版本近似，脚部变化不新增主件款式家族。
o0523	ai_candidate	pants	plain_dark_draped_top_straight_light_jeans	top,bottom	1	charcoal_denim_blue	charcoal,denim_blue	casual	everyday	easy	spring,autumn	daily,social	{"loop":0.72,"mute":0.63,"melt":0.56}	深软垂长袖与直牛仔一柔一整，较o0522多领部垂褶但仍低装饰	unknown	黑灰垂领长袖、浅蓝直筒牛仔、白素包、浅蓝玛丽珍。同裤鞋包须限频，不能只凭领部变化提供连续相似内容。
o0524	ai_candidate	pants	fitted_blue_henley_light_cropped_wide_pants	top,bottom	1	ice_blue_ivory	ice_blue,ivory	casual	everyday_with_statement	explore	spring,autumn	daily,social	{"loop":0.67,"iced":0.63,"melt":0.57,"edge":0.30}	蓝贴身针织和米白短宽裤柔和，黑皱靴只增加脚部重量，不改写整套主衣结构	unknown	浅蓝小排扣合体长袖、米白九分宽裤、白素包与黑皱筒靴。上身有收腰线但无复杂拼贴，不因黑靴归高表达人格。
o0525	ai_candidate	pants	draped_blue_short_sleeve_top_light_cropped_wide_pants	top	1	ice_blue_ivory	ice_blue,ivory	casual	everyday_with_statement	explore	spring,autumn	daily,social	{"iced":0.74,"melt":0.63,"loop":0.53}	交叠实体胸腹加透肩短袖比普通T更有材质变化，素短宽裤保留清楚主次	unknown	原图浅蓝透肩短袖褶上衣、米白九分宽裤、白素包和黑皱筒靴。胸腹有明确实体斜裹片，不把肩袖透明误判整件需要缺失内搭；没有外套内袖冲突。
o0526	needs_review	pants	sheer_fitted_blue_shirt_dark_wide_trousers	top,bottom	1	ice_blue_black	ice_blue,black	casual	unknown	typical	spring,summer	social	{"iced":0.74,"melt":0.48,"mute":0.37}	黑宽裤能衬冷光衬衫，却不能补齐上衣的可见覆盖条件	opaque_inner_unverified	原图浅蓝透视收腰衬衫、黑宽裤、黑素托特和银细高跟。仍是g0354的内搭待核，换成黑裤和高跟不解决；与o0516相同问题需共同保留。
o0527	ai_candidate	pants	plain_sleeveless_blue_shirt_dark_wide_trousers	top,bottom	1	ice_blue_black	ice_blue,black	casual	occasion_with_statement	explore	spring,summer	social,commute	{"iced":0.71,"heir":0.64,"loop":0.59,"mute":0.57}	实体收腰无袖衫与黑宽裤一收一放，银鞋为清楚次点，和透视长袖版可用性不同	unknown	浅蓝排扣无袖翻领衬衫、黑宽裤、黑托特和银尖高跟。不能因共享裤鞋包就继承o0526内搭疑点，也不将高跟称舒适已证实。
o0528	ai_candidate	pants	plain_light_shirt_soft_blue_wide_pants	top,bottom	1	ice_blue	ice_blue	casual	everyday	easy	spring,autumn	daily,commute	{"iced":0.69,"loop":0.68,"ease":0.58}	浅蓝素衬衫与软宽裤同色低装饰，黑抽绳包小对比，属于共享日常而非全新设计师语汇	unknown	浅蓝普通长袖翻领衬衫、浅蓝软宽裤、黑灰抽绳桶包与浅蓝亮乐福。和o0488有相近衣形，需跨配方核主件与近似家族。
