token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o0817	ai_candidate	dress	blue_sleeveless_gathered_tiered_maxi	dress	1	blue	blue	casual	everyday	easy	spring,summer	daily,social	{"ease":0.69,"melt":0.60,"flou":0.58,"neon":0.14}	同色宽层摆和抽腰有柔浮感，配色与配件都克制，没有高彩拼面	unknown	浅蓝圆领无袖多层长裙、灰白素软包、蓝椭圆耳饰与白运动底低鞋；不因生产人格标签把浅蓝套装判霓虹典型。
o0818	ai_candidate	dress	blue_vneck_puff_sleeve_button_a_midi	dress	1	blue	blue	polished	everyday_with_statement	explore	spring,summer	social	{"ease":0.61,"melt":0.55,"neon":0.32,"edge":0.30}	素色V领泡袖中裙保留温和主面，彩包和黑粉运动鞋只作配件探索	unknown	原图浅蓝前扣收腰A裙、蓝橙粉绿拼包、蓝灰长耳饰与黑粉厚底鞋；主衣无高彩，不以配件颜色代表主服装命中。
o0819	ai_candidate	dress	blue_sleeveless_pointcollar_long_shirt_dress	dress	1	blue	blue	polished	everyday_with_statement	explore	summer	social	{"ease":0.67,"heir":0.59,"neon":0.30,"edge":0.28}	普通领口与连续前扣长线偏经典，彩包是最突出配件，不能覆盖主衣的低彩事实	unknown	原图蓝无袖翻领长衬衫裙、高彩翻盖包、蓝花胸针和蓝粉黑尖头后空鞋；胸针不是耳饰，裙没有外加腰带或多层纱摆。
o0820	ai_candidate	dress	black_pink_corset_denim_yoke_tiered_mini	dress	1	black_pink_denim	black,pink,denim_blue	statement	statement_not_daily	experimental	spring,autumn	social,creative	{"edge":0.90,"oops":0.62,"melt":0.42,"neon":0.28}	皮感束腰与粉纱、丹宁腰片和链扣形成统一甜酷主题，黑粉靴呼应主裙	unknown	原图实体胸杯束身短层裙、灰丹宁酸绿拼包、黑粉结饰与同色系带踝靴；袋局部酸绿不把整套变为NEON，裙的实穿覆盖仍不作保证。
o0821	ai_candidate	dress	vivid_corset_asymmetric_panel_long_dress	dress	1	coordinated_vivid_blocks	blue,orange,pink,green	statement	statement_not_daily	experimental	spring,summer	social,creative	{"neon":0.91,"oops":0.69,"edge":0.51}	高彩亮面和斜长裙片集中在一件主裙，低彩鞋与深色包留出次要区域	unknown	原图蓝橙实体胸杯、丹宁臀片与高彩斜层长裙，配黑粉链包、蓝圆耳饰及素灰褐后空鞋；这是创意表达候选，不认作日常或真人防透已验证。
o0822	ai_candidate	dress	charcoal_plain_long_wrap_shirt_dress	dress	1	charcoal	charcoal	polished	everyday_with_statement	explore	spring,autumn	daily,social	{"ease":0.67,"mute":0.57,"heir":0.54,"oops":0.25,"neon":0.20}	素灰长袖系腰长裙保留干净纵线，解构包和耳饰只改变局部细节	unknown	炭灰长袖裹摆衬衫裙、灰蓝绿拼包、蓝灰长耳饰和黑普通踝靴；没有亮面撞色主裙证据。
o0823	ai_candidate	pants	plain_charcoal_shirt_black_straight_pants	top,bottom	1	charcoal_black	charcoal,black	casual	everyday_with_statement	explore	spring,autumn	daily,social	{"mute":0.73,"ease":0.62,"noir":0.56,"edge":0.31}	素衬衫和规整黑直裤是深色基础组合，粉黑鞋与异形小包不赋予主衣束身结构	unknown	炭灰普通长衬衫、黑直裤、黑酒红小包与粉黑灰运动鞋；深色不等于整套甜酷，理由应区分主衣和配件。
o0824	ai_candidate	pants	architectural_black_pointshoulder_shirt_plain_black_pants	top,bottom	1	black_charcoal_burgundy	black,charcoal,burgundy	statement	statement_not_daily	typical	spring,autumn	social,creative	{"noir":0.78,"edge":0.57,"heir":0.45}	尖肩、收腰、长袖口和破尖下摆提供暗黑结构证据，素裤为复杂上衫留空间	unknown	原图黑酒红结构衬衫、素黑直裤、同色硬折小包与黑粉灰运动鞋；上衣不是普通黑衬衫，运动鞋使场景偏创意而非正式通勤。
o0825	ai_candidate	pants	plain_black_tank_black_detail_wide_pants	top,bottom	1	black	black	statement	statement_not_daily	typical	spring,summer	social,creative	{"edge":0.74,"noir":0.67,"void":0.56}	素贴体无袖对比带侧部细节的黑宽裤，黑长靴与素包延续暗色主线	unknown	黑圆领无袖、黑宽裤局部扣带与纹理、黑半月包和黑长靴；裤脚与靴筒真实落位未知，不承诺贴身试穿结果。
o0826	ai_candidate	pants	charcoal_box_short_top_black_detail_wide_pants	top,bottom	1	charcoal_black	charcoal,black	statement	statement_not_daily	typical	spring,autumn	social,creative	{"edge":0.71,"noir":0.60,"void":0.56}	短宽素上衣压低主衣繁度，黑长裤细节成为造型重点，不等于全身同等级装饰	unknown	炭灰圆领短袖前中线短上衣、黑细节宽裤、黑半月包与长靴；与o0825同裤，不能按短袖换无袖计新主裤家族。
