token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o0529	ai_candidate	pants	plain_blue_wide_shirt_blue_tapered_pants	top,bottom	1	ice_blue	ice_blue	casual	everyday	easy	spring,autumn	daily,commute	{"iced":0.66,"loop":0.70,"ease":0.58}	实体宽衬衫与锥裤规则低彩，日常性来自简洁结构，不只是目录的人格同名	unknown	蓝灰细纹宽衬衫、浅蓝素锥裤、灰黑桶包和浅蓝亮面乐福。与o0528更换裤形及衬衫，但相近蓝色套装仍有家族级近似风险。
o0530	ai_candidate	pants	plain_fitted_taupe_top_dark_straight_jeans	top,bottom	1	taupe_charcoal	taupe,charcoal	casual	everyday	easy	spring,autumn	daily,travel	{"loop":0.75,"mute":0.66,"ease":0.61,"iced":0.25}	灰褐贴身长袖和深灰牛仔是普通低彩休闲，蓝鞋包不等于主衣具有冷透光泽	unknown	灰褐圆领合体长袖、深灰直宽牛仔、蓝褶肩包与蓝乐福。主色仍是灰褐深灰，不能用两件小配件推定整套蓝偏好强命中。
o0531	ai_candidate	pants	plain_fitted_blue_tee_dark_straight_jeans	top,bottom	1	ice_blue_charcoal	ice_blue,charcoal	casual	everyday	easy	spring,summer	daily,travel	{"loop":0.76,"mute":0.62,"iced":0.50}	浅蓝短T和暗牛仔基础比例清楚，冷色有体现但缺少强光泽或流线，ICED证据有限	unknown	浅蓝合体短T、深灰直宽牛仔、蓝褶包和蓝乐福。相比o0530颜色袖长改变，同主裤与鞋包继续限频。
o0532	ai_candidate	pants	plain_white_shirt_soft_blue_wide_pants	top,bottom	1	ivory_ice_blue	ivory,ice_blue	casual	everyday	easy	spring,autumn	daily,commute	{"loop":0.75,"ease":0.67,"iced":0.59}	素白宽衬衫与柔垂浅蓝宽裤轻量克制，层次少且没有夸张拼缀	unknown	米白翻领长衬衫、浅蓝软宽裤、蓝托特和棕灰长靴。与o0488同类上衣裤组合只换鞋包，不作为新增主服装结构。
o0533	ai_candidate	pants	plain_dark_draped_top_soft_blue_wide_pants	top,bottom	1	charcoal_ice_blue	charcoal,ice_blue	casual	everyday	easy	spring,autumn	daily,social	{"mute":0.68,"melt":0.65,"iced":0.58,"loop":0.56}	深垂领和浅软裤一深一浅并保持柔线，非破坏性多层结构	unknown	炭灰侧褶垂领长袖、浅蓝软宽裤、蓝托特、棕灰长靴。与o0487类似主衣语汇，换配件不能绕开近似限制。
o0534	ai_candidate	skirt	plain_dark_cowl_blouse_iridescent_flared_midi	skirt	1	charcoal_ice_blue_silver	charcoal,ice_blue	casual	occasion_with_statement	typical	spring,autumn	social	{"iced":0.78,"melt":0.68,"mute":0.48}	素暗上衣衬托冰蓝光泽斜层裙，材质对比比纯蓝色更有ICED证据	unknown	原图炭灰素垂领长袖、浅蓝光泽斜层微喇中长裙、黑肩包与银高跟。裙主体较密、下缘薄层明确，不能只因薄裙边推断整裙缺内衬；不作物理覆盖认证。
o0535	ai_candidate	skirt	fitted_blue_henley_iridescent_flared_midi	skirt	1	ice_blue_silver	ice_blue	casual	occasion_with_statement	typical	spring,autumn	social	{"iced":0.81,"melt":0.68,"heir":0.44}	实体贴身蓝针织与同色光泽裙软线连贯，银鞋呼应，复杂度集中于材质而非多处图案	unknown	原图浅蓝小排扣合体长袖、蓝光泽斜层裙、黑素包与银细高跟。与o0534同裙鞋包，换蓝上衣提高主色集中度但不是新的裙家族。
o0536	needs_review	skirt	sheer_blue_fitted_shirt_plain_wrap_a_line_midi	top,skirt	1	ice_blue	ice_blue	casual	unknown	typical	spring,summer	social	{"iced":0.76,"melt":0.49,"heir":0.38}	素侧扣A裙使比例整洁，但透明收腰衬衫仍缺明确内层证据	opaque_inner_unverified	原图浅蓝透视衬衫、蓝侧扣裹A中裙、蓝褶肩包和蓝亮乐福。更换半裙不是上衣覆盖修复，保持g0354关联待核。
o0537	ai_candidate	skirt	plain_sleeveless_blue_shirt_plain_wrap_a_line_midi	top,skirt	1	ice_blue	ice_blue	casual	everyday	easy	spring,summer	daily,commute	{"iced":0.69,"heir":0.69,"loop":0.62}	实体无袖翻领上衣与侧扣A裙规则，素冷色适合日常，不继承透视长袖版疑点	unknown	浅蓝收腰排扣无袖衫、浅蓝侧扣裹裙、蓝褶包和蓝亮乐福。与o0536是真实上衣结构变更而非只换配件。
o0538	ai_candidate	skirt	plain_light_blue_shirt_soft_blue_a_line_midi	top,skirt	1	ice_blue	ice_blue	casual	everyday	easy	spring,autumn	daily,commute	{"loop":0.72,"iced":0.64,"ease":0.62}	普通翻领长衬衫与素A裙低装饰，软量温和，不能只按同色判高强度人格	unknown	浅蓝长袖翻领普通衬衫、蓝软A中裙、蓝素信使包和蓝乐福。与其他蓝衬衫蓝裙版本有高度家族近似，需要跨父配方统计。
