token	category	subcategory	neckline	sleeve	length	volume	construction	pattern	decoration	material_appearance	main_colors	visual_personas	usage_limits	status	evidence
g0313	accessory	bow_brooch	unknown	unknown	unknown	unknown	folded_bow_metal_loop_pearl_pin	plain	medium	satin_metal_pearl_look	navy,silver	heir,film,iced	unknown	ai_candidate	藏蓝折带与银色环交错成胸针，中心珠状装饰及背针可见；经典精致配饰，不能单独证明整套人格。
g0314	accessory	wire_frame_glasses	unknown	unknown	unknown	unknown	rounded_polygon_thin_bridge_nosepads	plain	low	metal_clear_lens	blue_gray	iced,loop,mute	optical_function_unknown	ai_candidate	灰蓝细金属框眼镜，近圆多边形镜圈、细桥和鼻托可辨，无可见镜片着色；光学度数和佩戴尺寸未知。
g0315	accessory	oval_drop_earrings	unknown	unknown	unknown	unknown	metal_stud_oval_ring_drop	plain	medium	gold_metal_marbled_resin_look	taupe,gold	heir,film,ease	material_unknown	ai_candidate	金色圆角方耳钉下接灰褐椭圆环，环面有石纹感；只能记录材质观感，不能断言天然石或贵金属。
g0316	accessory	thin_belt	unknown	unknown	unknown	unknown	narrow_strap_oval_buckle_keeper	plain	low	leather_metal_look	ivory,gold	heir,loop,mute	waist_fit_unknown	ai_candidate	奶白窄腰带配小金色椭圆扣、带孔和固定圈，低装饰；实际腰围和皮革成分无法从静物图确认。
g0317	accessory	circle_pendant_necklace	unknown	unknown	unknown	unknown	fine_chain_ring_pendant_extension	plain	low	silver_metal_look	silver	mute,iced,loop	material_unknown	ai_candidate	银色细链末端为小圆环吊坠，连接扣与延长链可见；结构简洁，不据金属光泽声称银含量或价值。
g0318	accessory	floral_brooch	unknown	unknown	unknown	unknown	sculpted_petals_stem_pearl_pin	plain	medium	metal_pearl_look	navy,silver	heir,film,iced	unknown	ai_candidate	深蓝花瓣、银色叶茎和珠状花心组成细长花胸针，背部弯针可辨；装饰集中，不等于整套应走戏剧风格。
g0319	accessory	wire_frame_glasses	unknown	unknown	unknown	unknown	rounded_polygon_thin_bridge_nosepads	plain	low	metal_clear_lens	charcoal	mute,loop,heir	optical_function_unknown	ai_candidate	炭灰细金属近圆多边形眼镜，镜桥和鼻托与蓝灰版很接近；颜色微差不能算全新配饰结构。
g0320	accessory	oval_drop_earrings	unknown	unknown	unknown	unknown	metal_stud_oval_ring_drop	plain	medium	silver_metal_resin_look	navy,silver	iced,heir,film	material_unknown	ai_candidate	银色圆耳钉连接藏蓝椭圆环，与灰褐金色版本的悬垂结构相近；冷暖配色不同，仍需按同型配饰控制重复。
g0321	top	side_draped_blouse	wide_crew	long_straight	hip	relaxed	asymmetric_side_ruche_layered_hem	plain	low	fluid_woven	charcoal	mute,flou,loop	unknown	ai_candidate	炭灰宽圆领长袖衫一侧腰摆收拢，前片斜垂并有内层下摆；低彩之外，柔软斜线才是明确视觉证据。
g0322	top	ruched_sleeveless_blouse	u_neck	sleeveless	hip	fitted	asymmetric_ruche_vertical_frill_small_clasp	plain	medium	soft_satin_sheer_look	ice_blue	iced,flou	upper_panel_translucent	ai_candidate	冰蓝无袖衫胸前多道垂褶、单侧竖荷叶和小扣饰可见，肩胸上缘轻透而主要身片较密；不承诺所有光线下完全不透。
g0323	top	ornamental_print_shirt	point_collar	long_straight	hip	fitted	button_front_contrast_placket_cuffs	chain_floral	medium	satin_look	ivory,navy,burgundy,gold	heir,film	unknown	ai_candidate	奶白衬衫印链条和花卉，深蓝领口门襟配酒红边，腰部略收；明确精致复古语汇，不把花纹误称纯色基础款。
g0324	top	rolled_sleeve_shirt	point_collar	long_rolled	hip	loose	button_front_chest_pocket_curved_hem	plain	low	linen_look	oatmeal	ease,loop,heir	unknown	ai_candidate	燕麦色松尖领衬衫，挽袖、胸袋和圆摆表现自然轻松；布纹有麻感但真实纤维未知，与基础米白衬衫近似。
g0325	top	puff_sleeve_peplum_knit	u_neck	long_puff	hip	fitted_waist	pink_yoke_fringe_tie_pompoms_flared_hem	knit_texture	medium	knit	ivory,pale_pink	melt	layering_volume_needs_space	ai_candidate	奶白针织衫粉色肩胸横条、毛球系带、鼓袖和外展下摆很明确；甜软强于普通素针织，叠穿需给袖部留量。
g0326	top	patch_layered_box_top	crew	long_dropped_rolled	cropped	oversized	asymmetric_layers_mixed_patches	patchwork	medium	linen_coarse_knit_look	taupe,olive	wabi,void	layering_volume_needs_space	ai_candidate	灰米橄榄宽箱形上衣有落肩挽袖和不规则多片下摆，局部粗针织感补片；材质与错位线条支持自然解构，不只是灰棕色。
g0327	top	floral_layered_blouse	wide_crew	three_quarter_flared	hip	loose	floating_panels_lace_tie_front	watercolor_floral	 high	chiffon_lace_satin_look	pale_pink,sage,ivory	flou,melt	opaque_inner_visible_lighting_unverified	ai_candidate	粉绿水彩花宽衫有轻透外片、蕾丝窄边及乳白覆层，袖摆不等长；适合鲜明浪漫表达，不把复杂纱片当基础日常。
g0328	top	asymmetric_colorblock_tank	u_neck	wide_straps	cropped	fitted	zip_mesh_frill_drawstrings_asymmetric_hem	colorblock	high	glossy_synthetic_mesh_denim	cobalt,lime,hot_pink,orange	neon,oops	experimental	ai_candidate	高彩蓝绿粉橙背心同时有斜拉链、网眼、侧荷叶及抽绳，短不对称下摆明显；设计强度高，不能作为低表达首屏基础上衣。
g0329	top	denim_lace_corset_shirt	point_collar	short_puff	waist	corseted	button_front_chest_flaps_tied_cuffs	lace_floral	 high	denim_leather_lace_look	black,denim_blue,dusty_pink	edge,oops	layering_volume_needs_space	ai_candidate	黑皮感束腰身片拼丹宁领门襟，粉黑蕾丝短泡袖带绑绳，胸盖袋强化混合语汇；甜酷有结构依据，不只是黑粉配色。
g0330	top	baroque_corset_blouse	point_collar	long_multi_puff	hip	corseted	embroidered_panels_bow_long_cuffs	floral_embroidery	high	satin_brocade_velvet_look	ivory,emerald,burgundy	bolt	experimental;layering_volume_needs_space	ai_candidate	乳白大泡袖长衫两侧深绿束腰拼片、刺绣及酒红大领结清楚，长袖口与大上袖强对比；场合戏剧性明显，非HEIR日常常规款。
g0331	top	sheer_ruched_layered_top	wide_crew	long_fitted	hip	fitted	cami_shaped_inner_ruched_tie_lettuce_edges	muted_mottled	medium	mesh_knit_look	brown,charcoal	film,iced	shoulder_sleeve_translucent	ai_candidate	棕灰网感上衣内有深色吊带形胸片，腰部收褶、胸前细绳和小波边；透视肩袖可见，独立胸片不等于真人穿着透明度已验证。
g0332	top	ink_floral_frog_blouse	crew_asymmetric	three_quarter_bell	hip	lightly_fitted	frog_fasteners_contrast_binding_curved_hem	ink_branch_floral	medium	woven_sheer_sleeves	ivory,black,red	jade,flou	bell_sleeves_need_space	ai_candidate	乳白身片配黑包边和侧盘扣，水墨枝叶红花，黑透视钟袖明显；有中式结构证据，但夸张袖摆比克制JADE基础款更强。
g0333	top	draped_cowl_poncho	cowl	three_quarter_flared	hip	oversized	gathered_shoulders_tied_sleeves_layered_hem	plain	medium	fluid_woven	taupe	flou,ease,void	layering_volume_needs_space	ai_candidate	灰米宽垂领上衣由肩部落褶，袖口抽绳和层叠尖摆形成宽量；不规则下摆有依据，不能只按无图案认作极简贴身款。
