token	category	subcategory	neckline	sleeve	length	volume	construction	pattern	decoration	material_appearance	main_colors	visual_personas	usage_limits	status	evidence
g0073	bottom	layered_patchwork_trousers	unknown	unknown	long	wide	elastic_waist_hanging_panels	patchwork	high	washed_denim_canvas	charcoal,taupe,washed_blue	void,wabi	statement_bottom;avoid_ragged_full_set	ai_candidate	灰褐蓝宽裤外挂多层毛边布片，腰部抽绳和长宽裤管清楚；松垮包裹感强，不是素色宽裤换色款。
g0074	hat	patchwork_bucket_hat	unknown	unknown	unknown	soft	asymmetric_brim_tied_panels	patchwork	medium	washed_canvas	gray,taupe,washed_blue	void,wabi	avoid_matching_every_item	ai_candidate	灰蓝褐布帽有软宽斜檐、绕顶叠片与侧绑结，边缘自然毛化；和同组裤包同时使用会重复做旧母题。
g0075	bag	patchwork_hobo	unknown	unknown	unknown	soft	asymmetric_pockets_frayed_panels	patchwork	medium	washed_canvas_denim	gray,taupe,washed_blue	void,wabi,film	casual_only	ai_candidate	褪蓝灰褐软肩包，多个不同形状袋片、磨边和结绳，日常手作感明显，不能作为正式礼服基础包。
g0076	outer	deconstructed_blazer	notch_lapel	asymmetric_long	asymmetric_long	waisted	mixed_sleeves_ruffled_tail	floral_patchwork	high	woven_denim_tulle_satin	black,pale_pink,washed_blue,multicolor	oops,edge	experimental;not_default_daily	ai_candidate	黑西装主体拼一侧粉色巨袖、另一侧层叠蕾丝和花布长尾，腰部丹宁袋片及扣带繁复；需要极简下装才能保留主次。
g0077	top	deconstructed_corset_blouse	asymmetric_sweetheart	asymmetric_long	asymmetric_cropped	waisted	corset_panels_mixed_sleeves_ties	floral_patchwork	high	denim_woven_sheer	washed_blue,cream,navy,multicolor	oops,edge	experimental;outer_sleeve_fit_unverified	ai_candidate	异形上衣把单侧西装领、花布胸片、丹宁束腰、左右不同袖型与垂绳放在一起，单件已是强实验焦点。
g0078	bottom	asymmetric_hybrid_trousers	unknown	unknown	long	wide_asymmetric	pleated_overlay_cargo_leg_panels	patchwork	high	woven_denim_lace_glossy	charcoal,washed_blue,pale_pink	oops,edge	experimental;not_default_daily	ai_candidate	左右裤腿材质与结构明显不同，一侧灰褶片和蕾丝、一侧粉亮面工装袋；有完整两条裤腿，不应归为单纯半裙。
g0079	hat	deconstructed_statement_hat	unknown	unknown	unknown	structured_soft_mix	folded_crown_tied_brim	patchwork	high	denim_lace_glossy_woven	washed_blue,charcoal,red,white	oops	experimental_headwear	ai_candidate	丹宁灰布红亮片拼成夸张高低帽冠与宽檐，侧面大结和蕾丝垂边明显；不是一条普通围巾，也不是易穿基础帽。
g0080	shoes	asymmetric_statement_boots	unknown	unknown	ankle_mid	unknown	mixed_heels_buckles_laces	patchwork	high	denim_leather_lace	washed_blue,black,pale_pink,silver	oops,edge	experimental;paired_heel_balance_unverified	needs_review	原尺寸复核确认两只靴子的跟型、前掌厚度、鞋帮及绑带不同：一侧金属曲跟带粉色环芯，另一侧为棱角跟及厚齿前掌。透视不能确认双脚着地高度一致；实验表达成立但成对平衡仍需复核。
g0081	top	relaxed_shirt	point_collar	long	long	loose	covered_placket_gathered_cuffs	solid	low	soft_woven	light_gray	mute,ease,loop	unknown	ai_candidate	浅灰宽长衬衫，暗门襟、轻蓬袖及后长弧摆，简洁但偏松软；不同于紧身收腰衬衫。
g0082	top	waisted_sleeveless_shirt	point_collar	sleeveless	regular	fitted	princess_seams_button_front	solid	low	woven	ice_blue	iced,loop	warm_weather	ai_candidate	冰蓝无袖翻领衬衫，胸腰省线和一排小扣收净上身，清爽比例明确；不是仅用蓝色定义 ICED。
