token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o0745	ai_candidate	pants	blue_fitted_scoop_top_blue_wide_pants	top,bottom	1	blue	blue	polished	everyday	easy	spring,autumn	daily,commute	{"ease":0.73,"mute":0.65,"iced":0.49,"flou":0.28}	贴体素蓝长袖与蓝宽裤是干净松紧差，没有因蓝色而自动变成几何冷感或飘纱风格	unknown	蓝色低圆领长袖、浅蓝素宽裤、蓝素肩包和灰褐短靴。单色主衣无大层片，配件色不当作主体色。
o0746	needs_review	pants	sheer_pastel_tie_blouse_ivory_straight_jeans	top,bottom	1	pastel_ivory	ivory,blush,sage	statement	statement_not_daily	typical	spring,autumn	social,creative	{"flou":0.77,"melt":0.61}	花纱领结和长垂片提供柔浮证据，但胸腹覆层未确认，换成实体白牛仔不解决上衣覆盖	opaque_inner_unverified	原图粉绿领结薄纱上衣、奶白直筒牛仔、浅蓝素托特和灰褐长靴；上衣为g0567，不能沿用另一款已见覆层的花衫记录。
o0747	ai_candidate	pants	blue_plain_shirt_ivory_straight_jeans	top,bottom	1	blue_ivory	blue,ivory	polished	everyday	easy	spring,autumn	daily,commute	{"ease":0.77,"mute":0.63,"heir":0.50,"flou":0.24}	普通蓝衬衫与白直筒牛仔属于规整基础，上下没有大层纱结构	unknown	浅蓝翻领长袖、奶白直筒牛仔、浅蓝托特和灰褐长靴；虽与o0746共裤包鞋，主衣证据和覆盖状态不同。
o0748	ai_candidate	pants	ivory_short_knit_ivory_wide_pants_silver_heels	top,bottom	1	ivory	ivory	polished	everyday_with_statement	explore	spring,summer	social	{"heir":0.62,"ease":0.66,"iced":0.41,"flou":0.24}	素短袖与白宽裤以安静大面为主，亮银高跟只是小面积社交表达	unknown	奶白短袖密实针织、白宽裤、粉素肩包和银蓝细带尖头高跟；不把鞋的亮面与包的粉色当整套主服装特征。
o0749	ai_candidate	pants	ornate_corset_puff_blouse_ivory_wide_pants	top,bottom	1	ivory_deep_green	ivory,green	statement	statement_not_daily	typical	spring,autumn	social,creative	{"bolt":0.79,"heir":0.51,"flou":0.39}	束腰、大泡袖与酒红领结是戏剧主角，素宽裤和素包让下半身保持安静	unknown	原图奶白深绿装饰长袖衬衫、奶白素宽裤、粉素包和银蓝高跟；比同上衣配花纱大裤的o0739主次清楚，不能继承多主焦点竞争。
o0750	ai_candidate	pants	pastel_opaque_core_layer_blouse_blue_tapered_pants	top,bottom	1	pastel_blue	blush,sage,ivory,blue	statement	statement_not_daily	typical	spring,autumn	social,creative	{"flou":0.77,"melt":0.64,"ease":0.45}	层纱和不规则袖摆集中于上身，素蓝锥裤与白包蓝低鞋提供收束	unknown	原图宽圆领粉绿花衫胸腹乳白覆层可见，配蓝锥裤、白桶包和蓝亮面乐福鞋；该上衣g0327与待核g0567不同，实物防透仍未知。
o0751	ai_candidate	pants	navy_fitted_tank_blue_tapered_pants	top,bottom	1	navy_blue	navy,blue	polished	everyday	easy	spring,summer	daily,social	{"ease":0.74,"mute":0.63,"iced":0.47,"flou":0.22}	素背心与锥裤保持收敛直线，蓝色鞋并不赋予额外纱层	unknown	藏蓝素背心、浅蓝锥裤、白桶包和蓝乐福鞋；从o0750换掉花衫后主风格证据必须同步变化。
o0752	ai_candidate	pants	blush_plain_shirt_blue_cropped_pants	top,bottom	1	blush_blue	blush,blue	casual	everyday	easy	spring,autumn	daily,travel	{"ease":0.78,"melt":0.55,"film":0.42,"flou":0.29}	浅粉常规衬衫与蓝短直裤是轻松基础，花纱仅出现在小包	unknown	浅粉翻领衬衫、蓝色九分直裤、粉绿花纱包和白运动鞋；没有主衣透明层片，不能套用同色花纱上衣理由。
o0753	ai_candidate	pants	blush_fitted_crew_top_blue_cropped_pants	top,bottom	1	blush_blue	blush,blue	casual	everyday	easy	spring,autumn	daily,travel	{"ease":0.77,"mute":0.58,"melt":0.55,"flou":0.25}	贴体粉素长袖与直裤结构简单，保留柔色偏好而不夸大蓬浮人格	unknown	粉灰贴体圆领长袖、蓝九分直裤、粉绿小包和白运动鞋；与o0752共主裤及小物，只替上衣不代表新裤款。
o0754	ai_candidate	pants	ivory_blush_wide_knit_blue_lustrous_flared_pants	top,bottom	1	ivory_blush_blue	ivory,blush,blue	polished	everyday_with_statement	explore	spring,autumn	social	{"ease":0.66,"melt":0.61,"flou":0.51,"iced":0.47}	宽短针织与长亮面微喇裤形成软量和长短对比，主衣不是大碎花层纱	unknown	原图奶白粉横层宽针织、冰蓝亮面长微喇裤、酒红奶白装饰包和灰褐长靴；记录裤的可见光泽，不推断真丝成分或保证裤脚落位。
o0755	ai_candidate	pants	blue_fitted_scoop_top_blue_lustrous_flared_pants	top,bottom	1	blue	blue	polished	everyday_with_statement	explore	spring,autumn	social	{"ease":0.63,"iced":0.58,"mute":0.54,"flou":0.36}	主蓝连贯、裤面冷光和简洁上身提供有限冷感证据，仍无大几何硬结构	unknown	蓝贴体低圆领上衣、同色亮面微喇长裤、酒红奶白装饰包及灰褐长靴；比o0754上身更贴合，主裤未变。
o0756	needs_review	skirt	sheer_pastel_tie_blouse_ivory_a_midi_skirt	top,bottom	1	pastel_ivory	ivory,blush,sage	statement	statement_not_daily	typical	spring,summer	social,creative	{"flou":0.76,"melt":0.62}	花纱长尾与素A裙有主次，但上衣是否独立覆盖身体尚未确认	opaque_inner_unverified	原图g0567粉绿领结薄纱衫、奶白素A形中长裙、白翻盖包及粉白带鞋；由裤换裙不能解除同件上衣的待核状态。
o0757	ai_candidate	skirt	blue_plain_shirt_ivory_a_midi_skirt	top,bottom	1	blue_ivory	blue,ivory	polished	everyday	easy	spring,autumn	daily,commute	{"ease":0.76,"heir":0.61,"melt":0.48,"flou":0.24}	普通翻领蓝衫和素A裙规整，柔色鞋不增加主体层次	unknown	浅蓝素长袖衬衫、奶白A形中长裙、白翻盖包和粉白带鞋；与o0756裙包鞋相同，主衣变简单需要更新人格理由。
o0758	ai_candidate	skirt	ivory_short_knit_taupe_short_a_skirt	top,bottom	1	ivory_taupe	ivory,taupe	polished	everyday_with_statement	explore	spring,summer	daily,social	{"ease":0.73,"heir":0.56,"melt":0.42,"bolt":0.26,"flou":0.21}	白短袖与短A裙日常简洁，只有酒红蝴蝶结包偏华丽	unknown	奶白短袖针织、灰褐素短A裙、酒红奶白装饰包及灰褐乐福鞋；不能以包的宫廷装饰把主衣判为强BOLT。
o0759	ai_candidate	skirt	ornate_corset_puff_blouse_taupe_short_a_skirt	top,bottom	1	ivory_deep_green_taupe	ivory,green,taupe	statement	statement_not_daily	typical	spring,autumn	social,creative	{"bolt":0.80,"heir":0.50,"melt":0.45}	主上衣束腰、长袖泡量与同语汇酒红包呼应，素短裙与低鞋减少复杂区域	unknown	原图奶白深绿酒红结衬衫、灰褐素短A裙、同色系装饰包和灰褐乐福鞋；不是每件都复杂，也不是默认日常基础。
