group_id	member_tokens	rationale	boundary	source_sheets
raw_oversized_utility_jacket	g0026	灰橄榄短宽工具外套，大袋、毛边多层前襟及松袖构成旧工装语法	与普通西装、长拼片大衣和弹性底边夹克分开	family-components-07.jpg
double_lapel_cutout_tailored_jacket	g0061	灰米西装有双层翻驳领、腰段开口及外贴袋层，是明显解构剪裁	不能凭西装外轮廓合并普通单扣西装，开口位置为独立设计证据	family-components-07.jpg
brown_classic_notch_midcoat	g0131	普通驳领三扣、直长中身及整洁口袋，传统单排扣大衣结构	与短圆茧形深灰大衣和无领长外套分开，保留衣长比例	family-components-07.jpg
plain_doublebreast_belted_midtrench	g0134	灰褐双排扣风挡、袖带和系腰带构成传统中长风衣	不是所有褐色长外套都一样，风挡双排扣与结构性腰带要保留	family-components-07.jpg
collarless_singlebutton_blazer	g0139,g0001,g0385	灰褐和深灰无领深V单扣、胸袋及双翻袋与第6页粉色款主结构相近	保留衣长、合体程度和颜色；不和圆领敞开夹克合并	family-components-06.jpg,family-components-07.jpg,family-components-09.jpg
long_plain_open_cardigan	g0141	灰褐针织长开衫无前扣、有垂直开口和贴袋，主线条柔软笔直	与短V领纽扣开衫、梭织无领单扣西装都不同	family-components-07.jpg
roundneck_hidden_cocoon_longcoat	g0155	棕色无领隐藏前襟、弧形宽身和收下摆长外套形成茧形	区别于普通直身驳领大衣，不因平均棕色和长度接近合并	family-components-07.jpg
leather_pink_denim_belted_flare_coat	g0377,g0569	黑皮感收腰系带、丹宁驳领和粉纱层摆构成共同甜酷裙式外套	g0377偏异袖丹宁片、g0569双粉袖不同；保留袖型和透视状态，不宣称完全同款	family-components-07.jpg
raw_patch_notch_longcoat	g0383	灰蓝棕多幅毛边的大翻领长外套，宽松层片及不齐下摆明显	比g0395规则口袋茧衣更碎片化，不能把所有做旧褐大衣合并	family-components-07.jpg
vintage_denim_pocket_cocoon_coat	g0395	棕粗织茧形衣身有较规则丹宁领片和袋片、圆弧下摆	与全幅毛边层叠外套区分，材质相近并不等于同结构	family-components-07.jpg
khaki_waistpleat_long_a_skirt	g0186,g0216	米白和浅蓝扣腰、腰段短褶后展开长A裙，与第2页卡其g0580结构接近	颜色不计新轮廓，保留布料厚薄观感和前门襟细节	family-components-02.jpg,family-components-08.jpg
center_invertedpleat_a_skirt	g0194,g0192	前中单一大对褶与平整A裙面相近，浅蓝和藏蓝为变体	不误认裤门襟或两腿，也不和整圈规则百褶裙合并	family-components-08.jpg,family-components-09.jpg
regular_three_tier_skirt	g0197,g0209	奶白浅灰的水平三层收褶长裙与第2页深灰三层裙同类	保留裙长及每层比例，颜色变体不扩大款式数量	family-components-02.jpg,family-components-08.jpg
plain_wrap_a_skirt	g0210	浅蓝侧腰固定、单前幅裹A裙与第2页米色g0212共同结构明显	保留单扣位置与面料观感，不能因不同蓝度计新廓形	family-components-02.jpg,family-components-08.jpg
blue_sidewrap_offset_tier_skirt	g0215	侧系带和三段斜幅叠层的浅蓝裙，曲线轻软而且每层不水平	与普通裹A裙或水平三层裙不同，不把层次数量当唯一家族依据	family-components-08.jpg
pastel_knit_patch_ruffle_skirt	g0437,g0581	奶白粉米拼段、细荷叶边、绳球腰头及中长A摆重复同构	层片顺序、腰褶与纹理变化保留，仍应同家族抑制相邻曝光	family-components-08.jpg
blue_shiny_bias_layer_skirt	g0450	浅蓝偏光亮滑长裙，以斜向包覆层和薄摆区别普通棉感层裙	与g0215浅蓝裹层裙相关但亮滑细长比例不同，本轮保留不同组	family-components-08.jpg
neutral_lowsole_retro_sneaker	g0267	灰褐奶白普通绑带薄底运动鞋，没有大块粗齿底或毛边垂带	与交叉布面皮鞋和厚底解构跑鞋区别，不能靠鞋外形平均轮廓合并	family-components-09.jpg
crosscloth_closedtoe_flat	g0486	棕灰圆头闭口鞋面被粗布交叉包覆，低跟后包跟，实际并非系带运动鞋	与相似棕鞋色的跑鞋分开，不虚构鞋型	family-components-09.jpg
pink_black_mesh_chunky_sneaker	g0489	粉黑网面系带和多层波浪厚底为甜酷运动鞋结构	与做旧丹宁长绳鞋的材质和装饰语言不同，不一概归厚底鞋	family-components-09.jpg
raw_denim_cord_chunky_sneaker	g0495,g0591	灰蓝棕做旧拼面、毛边、额外长绳与多层厚底高度相近	保留绳结数量及旧色深浅；纹理变体不算独立新鞋型	family-components-09.jpg
heritage_patch_runner	g0507	棕色绒面粗织与蓝拼片、常规绑带及厚跑鞋底，表面更整洁	与g0495毛边长绳鞋分开，保留复古织物和解构碎片差别	family-components-09.jpg
