group_id	member_tokens	rationale	boundary	source_sheets
tailored_straight_wide_plain	g0003,g0174	黑色高腰扣门襟、中等宽直腿与中缝相近，适合作为基础直宽西裤家族	与大幅腰褶和拖长松量宽裤分开；颜色不能单独定义家族	family-components-01.jpg
tailored_full_wide_frontpleat	g0013,g0163,g0169,g0175,g0403,g0417,g0577	扣门襟前褶、长阔腿、素色精纺观感反复出现，主版型语言相近	保留藏蓝深灰与褶量、裤脚堆量区别；不是完全同SKU或可互换尺码	family-components-01.jpg
washed_wide_cuff_trousers	g0159,g0171	柔软洗旧观感、前褶阔腿与翻折裤脚相似，灰蓝和旧棕为变体	卷脚和柔软褶皱区别于平整不翻脚西裤，不能仅按长裤轮廓全部合并	family-components-01.jpg
raw_drawstring_flap_balloon_pants	g0028,g0073,g0399,g0415	抽绳软腰、两侧多片垂幅与宽松收底裤腿构成共同语法	保留灰棕丹宁色块和垂幅数量差异；与硬腰五袋牛仔及素锥裤分开	family-components-01.jpg
coated_wrap_wide_pants	g0068,g0574	平整黑色阔腿叠加斜向长覆片，亮哑拼面形成同类包覆结构	g0068偏单侧覆片、g0574两侧暗酒红片；不合并普通素黑裤	family-components-01.jpg
denim_lace_utility_flare_pants	g0042,g0409	黑丹宁、粉黑纱片、金属链及工具细节出现在长喇腿上，缩略图语汇近似	短裙式腰覆片和裤侧片位置不同，保留结构变体；不是简单换色同款	family-components-01.jpg
leather_tapered_pocket_pants	g0398	黑皮感立体侧袋与前褶锥形腿是独立结构，不能因黑色并入覆片阔腿	本候选集合中单列，并非声称全600件绝无相似款	family-components-01.jpg
denim_straight_wide_fivepocket	g0179,g0401,g0419	五袋扣门襟、中等宽度直长腿和洗白膝部构成同类牛仔版型	保留浅蓝深蓝灰黑及轻微裤口变化，颜色和洗水不计新主款式	family-components-01.jpg
plain_drawstring_wrap_tapered	g0406	灰褐抽绳腰、较窄裤腿和单层斜裹片，明显少于大侧垂幅泡泡裤	因锥形与侧片层数不同，不自动合并g0028等松大泡泡裤	family-components-01.jpg
brown_blue_panel_balloon_jeans	g0411	棕色侧拼片和洗蓝主体围出弯曲宽腿，五袋硬腰与撞材面明显	g0413虽也弯腿但素牛仔无大棕片，暂作不同视觉家族	family-components-01.jpg
curved_wide_plain_jeans	g0413	洗蓝五袋牛仔靠弯曲裁片和内侧立体幅面形成弧腿，没有额外碎片垂幅	与普通直腿及大外贴片牛仔都分开，避免所有牛仔同家族	family-components-01.jpg
dark_pattern_sidepanel_wide	g0414	黑色宽腿两侧暗酒红纹样与轻褶强调竖长线，没有大片包覆垂幅	不因同是黑色阔腿而合并到素西裤或皮感覆片裤	family-components-01.jpg
mixed_lace_suiting_asym_wide	g0400,g0576	西装灰与丹宁宽裤、粉白纱及亮面单侧覆片反复混搭，两腿长直宽	保留g0400大斜色块和g0576长蕾丝侧幅区别；与同材但明显锥腿g0416分开	family-components-01.jpg
mixed_lace_suiting_asym_taper	g0416	灰西装与丹宁蕾丝银粉片形成左右不齐锥形腿，裤脚收束是主要差异	与g0400/g0576可相关风格，但不当同廓形家族掩盖锥腿与宽腿差别	family-components-01.jpg
denim_raw_sideflap_balloon	g0575	五袋硬腰、洗蓝宽腿两侧大粗边棕灰垂片，区别于抽绳软腰	虽与粗片泡泡裤材质语汇相关，腰头与外贴幅形成不同主结构	family-components-01.jpg
pastel_floral_wrap_layer_skirt	g0031,g0439,g0583	浅粉浅绿花纱、不齐裹片与侧系结长摆高度相似，主视觉均为轻柔层纱	保留各款实体内层审核状态和透明限制；家族相似不等于内搭已合格	family-components-02.jpg
plain_tailored_column_midi	g0187,g0190,g0193,g0433	素色窄直中长裙、简洁腰头与纵向平整面形成基础直裙家族	长度、腰袢及中央开口或褶需保留，不宣称实物工艺相同；区别裹裙和A裙	family-components-02.jpg
