group_id	member_tokens	rationale	boundary	source_sheets
fitted_sleeveless_pointcollar_shirt	g0082,g0112,g0118	无袖尖翻领、前襟纽扣或暗襟与腰省弧摆反复出现，蓝与奶白只是变体	保留领口明暗襟与颜色，不能与窄肩背心或高领抽褶无袖衫合并	family-components-10.jpg
plain_racer_tank	g0088	蓝色窄肩高圆领合体背心，肩部与贴体轮廓独立于无袖衬衫	不因同蓝色无袖就合并其他领型和宽肩衫	family-components-10.jpg
silvery_cowl_ruched_tank	g0322	银蓝无袖垂领胸褶与侧腰收褶、合体腰线为主要视觉	无普通翻领，也不是平直针织背心，机器轮廓相似不代表同款	family-components-10.jpg
plain_felt_beret	g0295,g0298,g0301,g0291,g0531	软圆贝雷帽冠、小顶柄和窄围带构成共同帽型，粉白灰藏蓝变化明显	g0531棕皮围、其余同色织围不同；保留围边材质，不按换色增加帽型	family-components-10.jpg,family-components-12.jpg
pointcollar_box_wool_jacket	g0138	藏蓝普通尖领前扣、短箱形衣身与第6页g0132的基础轮廓相近	纵插袋与翻盖袋不同，作为结构变体保留，不与弹性下摆夹克混合	family-components-06.jpg,family-components-10.jpg
classic_vneck_short_cardigan	g0147	藏蓝V领前排扣短针织衫、罗纹袖底边与第6页基本开衫同类	不是新型开衫，深浅色及针织厚薄未知不额外推断	family-components-06.jpg,family-components-10.jpg
contrast_trim_roundneck_classic_cardigan	g0387	藏蓝奶白对比圆领门襟、金色钮和双袋形成经典学院感短开衫	与素灰圆领或普通V领款有稳定装饰语法差异，保留独立组	family-components-10.jpg
plain_roundtoe_maryjane_flat	g0248,g0260,g0254	圆头单横带低跟玛丽珍鞋，蓝灰棕黑为色彩变体	鞋带与露出脚背结构区别乐福鞋，保留楦头宽窄细差不宣称尺码相同	family-components-10.jpg,family-components-11.jpg
roundtoe_plain_penny_loafers	g0250,g0004	圆头低平底、横带便鞋，灰褐和黑色为相近基础乐福款	与单带玛丽珍和更尖瘦正式乐福鞋分开，鞋型不是由底色决定	family-components-10.jpg,family-components-11.jpg
sixpanel_baseball_cap	g0292,g0532,g0597,g0302	六片帽冠、弯檐、小顶扣与普通运动帽比例相同，色块和软纹理是变化	g0532棕檐、g0597粉针织侧片、g0302素黑；不是像素重复但同帽型	family-components-10.jpg,family-components-11.jpg
plain_tailored_a_mini	g0196,g0214	灰褐平整短A裙，一处侧前折或裹片形成相近简洁短裙体感	腰袢、侧裹门襟保留差异，不合并整圈压褶短裙	family-components-10.jpg
natural_patch_bubble_mini	g0454	松腰抽绳与灰褐粗片罩成泡泡短裙，收下摆体积明显	不能因短裙外形就合并平整A裙，布面和膨量是区别	family-components-10.jpg
highneck_gathered_sleeveless_blouse	g0124	奶白小高领颈褶、无前排扣、顺直宽下摆，区别翻领无袖衬衫	领褶和颈口构造保留，不因同白无袖合并基本背心	family-components-10.jpg
natural_scoop_side_drape_tank	g0340	米灰宽肩圆领无袖上衣，侧面褶皱和弧摆形成松软体积	与贴体窄肩背心不同，保留松量和肩型差异	family-components-10.jpg
denim_leather_lace_statement_cap	g0537	黑皮帽冠、丹宁帽檐、粉纱片和系带金属件构成甜酷解构帽	不可与普通黑棒球帽只按帽型合并，装饰密度产生明显不同体感	family-components-11.jpg
angular_black_panel_cap	g0542	黑色帽冠由角状重叠片加暗酒红线构成，帽檐有不齐边	与素六片帽及粉纱绑带帽都不同，深色相似不等于同款	family-components-11.jpg
plain_regular_pleated_mini	g0201,g0208,g0213,g0453	短A裙上从腰展开规则压褶，灰米白粉边款主比例反复出现	g0453针织感与粉边、g0213侧扣不同；保留差异，短裙不并入中长褶裙	family-components-11.jpg
leather_denim_lace_utility_mini	g0441	黑皮腰带和外袋、丹宁褶片、粉纱边与系带组成复杂短裙	区别素褶短裙，不仅是颜色版本，也不跨品类合并同元素的裤子	family-components-11.jpg
brown_vneck_soft_chore_jacket	g0379	粗棕无领V线、软箱身大袋、卷袖构成休闲工作夹克	与精纺单扣无领西装不同，面料观感和口袋体积是视觉证据	family-components-11.jpg
natural_asym_folded_lapel_jacket	g0390	灰米多层翻折领、单侧错位下摆和鼓袖，整体形态明显不对称	不因棕灰短外套轮廓合并规则工作夹克	family-components-11.jpg
brown_roundneck_soft_chore_jacket	g0571	棕色圆领前排扣、短箱身与翻袋，颈部闭合度区别深V款	与g0379相关风格但不同领口结构，本轮保持独立以保留变化	family-components-11.jpg
navy_doublebreast_long_coat	g0143	藏蓝宽驳领双排扣、长直身与落肩袖属于常规长大衣	区别单排扣点领及收腰金扣长衣，不把藏蓝长外套全部合并	family-components-11.jpg
plain_pointcollar_longcoat	g0158,g0146	普通尖领单排扣、袖口卷带和长A身相近，炭灰与蓝灰变体	与圆领长外套、双排扣西装大衣分开，保留腰线轻微收省	family-components-11.jpg,family-components-13.jpg
navy_fitted_goldbutton_longcoat	g0371	藏蓝翻驳领、金钮、腰袋和收腰长身，经典利落结构更明显	和宽落肩双排扣g0143同色不同体积，不自动并组	family-components-11.jpg
blue_slip_offset_tier_dress	g0226	浅蓝吊带、落腰感与不齐层纱长裙，轻柔层次是主结构	不同于同色无袖衬衫裙或合体直身裙，不按整条长轮廓合并	family-components-11.jpg
blue_sleeveless_shirt_dress	g0240	翻领前排扣无袖长裙，有收腰结构和明确衬衫语法	与普通圆领直身裙和吊带多层裙分别统计款式	family-components-11.jpg
blue_sleeveless_sheath_dress	g0242	浅蓝普通圆领无袖、合体腰省和直线下摆构成简洁直身裙	没有翻领前扣，也没有层纱和细吊带，保留独立结构	family-components-11.jpg
soft_bow_sportsole_maryjane	g0024	奶白粉色毛圈面、圆头横带及小蝴蝶结配软厚底，为轻甜玛丽珍	与白粉跑鞋不同，不能把底色相似当同鞋型	family-components-11.jpg
cream_plain_mesh_runner	g0261	奶白米灰普通系带网面运动鞋，中等厚底无复杂饰物	区别带蝴蝶结玛丽珍及较厚波浪粉跑鞋，颜色近不代表同家族	family-components-11.jpg
pink_mesh_wave_sole_runner	g0501	浅粉白网面系带、波浪多层较厚鞋底，是明确粉色跑鞋结构	与薄底米白跑鞋保持鞋底体积和表面分区区别，不因同浅色归组	family-components-11.jpg
cream_pink_drawstring_knit_mini	g0023	奶白粉色侧袋、绳球腰与平整A型短针织裙，表面没有通长压褶	与g0453的整圈褶短裙有结构差别，保留不同裙形	family-components-11.jpg
chunky_captoe_maryjane	g0494	黑酒红包头、单横带与大齿厚底形成重体积玛丽珍	不同于低底基础玛丽珍，前10套变化不能只看同一鞋品类	family-components-11.jpg
earth_patch_oversized_pointcollar_shirt	g0027,g0342	灰米宽尖领、橄榄胸袋、棕绿裹片与前后不齐长摆高度相关	g0027卷袖与斜襟、g0342收口袖和肩片不同；关联家族不是完全相同版型	family-components-12.jpg
earth_patch_roundneck_wide_top	g0566	灰棕圆领、宽短袖与层片下摆，没有翻领前襟和衬衫胸袋	与g0027/g0342同材质色系但领袖完全不同，不能机器连通就同家族	family-components-12.jpg
tailored_straight_tapered_ankle	g0170,g0176	奶白普通前褶中缝、锥直腿及脚踝长度，与第4页基础锥裤同语法	保留臀围与前褶细差；颜色差异不能夸大基础裤丰富度	family-components-04.jpg,family-components-12.jpg
earth_captoe_fabric_maryjane	g0500	米灰织物与棕皮包头、单横带和低底构成复古玛丽珍	与机器配对的黑白墨纹乐福完全不同，鞋口及带扣位置明确	family-components-12.jpg
ink_black_band_loafers	g0588,g0492	奶白墨纹面、黑包边横带、红小珠与低粗跟反复出现，确认为乐福	保留鞋头修长程度和花墨位置，不合并所有黑白鞋或普通棕乐福	family-components-12.jpg,family-components-13.jpg
plain_rib_cuff_beanie	g0294	灰棕竖罗纹针织、圆顶和翻折帽边为普通冷帽	与拼布做旧松皱帽不同，不把褐色无檐帽轮廓直接合并	family-components-12.jpg
raw_patch_slouch_beanie	g0539	棕灰洗蓝软片形成松皱帽身和不齐帽沿，异材质拼接可见	与g0294规则罗纹织帽区别，结构和纹理是独立证据	family-components-12.jpg
classic_fitted_crew_longtop	g0091,g0097	灰褐合体圆领长袖与第5页黑色g0337的基础轮廓接近	g0091有小胸袋，g0097侧身轻收褶；保留细节但不当全新主款式	family-components-05.jpg,family-components-12.jpg
sidewrap_column_midi_skirt	g0199,g0211	灰蓝藏蓝窄长裙由侧裹片和侧下开口组成，平整纵向线相近	保留侧扣位置、斜边及长度；不同于普通中开衩直裙和大A裹裙	family-components-12.jpg
plain_tailored_column_midi	g0205,g0451	浅蓝与藏蓝窄直裙、平整大面积和普通腰段延续第2页基础直裙家族	g0451细腰带和g0205腰褶存在差别，不等于新整体廓形	family-components-02.jpg,family-components-12.jpg
plain_soft_hobo_shoulder_bag	g0529,g0270,g0271	软半月开口、单根肩带和无强装饰中型包体，黑灰版本相近	保留g0529较高包身侧片、g0270较平口、g0271柔褶，容量未知不作承诺	family-components-12.jpg,family-components-13.jpg
contrast_leather_canvas_hobo	g0595	藏蓝包身加棕皮四角、包口滚边与中央扣带，经典混材明确	与素黑软hobo轮廓接近但视觉分区不同，保留独立结构族	family-components-12.jpg
navy_strap_fitted_sheath	g0227	藏蓝细肩带方领、收腰和窄直中长身，是独立吊带直裙	与无袖圆领g0243不同，不能只看同深蓝细长外轮廓	family-components-12.jpg
navy_sleeveless_crew_sheath	g0243	藏蓝普通圆领无袖、平整合体中长直裙，露肩面积不同于吊带	颈部与肩部结构不相同，保留和g0227的穿着表达差异	family-components-12.jpg
classic_navy_knit_polo	g0012,g0355	藏蓝短袖针织POLO、翻领短扣襟和合体身相近，白边只是小面积变化	保留g0355奶白滚边和钮差，不计全新主上衣版型	family-components-12.jpg
ivory_navy_scarfprint_shirt	g0323,g0563	奶白底藏蓝酒红金链、丝巾式图案、尖领合体长袖构成近似经典语法	花叶与皮带格块分布不同，不是复制图案，但同族曝光易显重复	family-components-13.jpg
tailored_straight_wide_plain	g0402,g0418	浅蓝高腰常规直宽裤腿与第1/4页同型西裤轮廓近似	保留g0402更柔垂、g0418较挺直及腰褶差；符合原有两件家族关联，不提升资产QA	family-components-01.jpg,family-components-04.jpg,family-components-13.jpg
blue_roundneck_long_a_coat	g0152	浅蓝圆领、单排深扣、落肩与长A衣身，没有普通尖翻领	与g0146点领长衣及棕茧形无领大衣保留区别	family-components-13.jpg
silvery_ruched_bias_long_skirt	g0007,g0434	银蓝亮滑斜裹面、侧腰收褶和不齐轻薄长摆高度相近	保留偏光与布面褶量差异，不能凭高光变化说是新裙型	family-components-13.jpg
blue_fitted_sheer_pointcollar_shirt	g0008,g0354	浅银蓝合体腰省、普通翻领前扣与薄袖透明观感近似	g0008可见实体内衬而g0354覆盖待核；家族相同绝不复制QA通过状态	family-components-13.jpg
blue_fitted_short_crew_tee	g0098,g0104	蓝色合体短袖圆领T，基本肩袖和腰线近似	平摆与弧摆、明度和棉面轻纹保留，不算新主廓形	family-components-13.jpg
ink_contrast_belted_long_duster	g0380,g0572	奶白黑灰长外套、腰带、竖幅墨花和细红点共同构成东方长线	g0380黑领与底花、g0572袖花位置不同，保留但限制同族重复曝光	family-components-13.jpg
almond_plain_lowheel_loafers	g0246	棕灰细长杏头、横带及低粗跟构成较修长正式乐福鞋	与墨纹黑包边鞋和圆头厚底基本款不同，鞋头长宽保留	family-components-13.jpg
taupe_plain_sleeveless_long_shift	g0237	灰褐无袖普通圆领长直裙，布面平整且腰线不明显	与g0477侧褶分区裙区别，不因长直浅色轮廓相似合并	family-components-13.jpg
cream_contrast_pleat_panel_dress	g0477	奶白无袖长裙有腰系绳、侧灰褶及长工具片，主结构明确分区	与普通长直裙不同，不能让同浅色掩盖立体裁片差别	family-components-13.jpg
cream_fitted_mockneck_longtop	g0085	奶白小半高领、合体长袖和无前襟的基本针织上衣	与圆领纽扣开衫g0109领口及开合不同，不应成同家族	family-components-13.jpg
cream_fitted_fine_round_cardigan	g0109	奶白圆领细针开衫、通长小扣与合体长身，区别无开襟上衣	与第6页宽短粗针圆领开衫也保留针织细密度和体量差异	family-components-13.jpg
natural_earth_patch_draped_hobo	g0029,g0518	灰米橄榄棕粗织软包、垂口宽肩带和侧拼片，整体体积高度相近	g0518三角片更突出、g0029褶口较软，保留但不计完全独立包型	family-components-13.jpg
